entertainment,city,postcode,housenumber,street,state,address1,address2
Qlty-Life,New York,11222,240,Norman Avenue,New York,Qlty-Life,"240 Norman Avenue, New York, NY 11222, United States of America"
Longacre Theatre,New York,10036,220,West 48th Street,New York,Longacre Theatre,"220 West 48th Street, New York, NY 10036, United States of America"
Shoestring Press,New York,11238,640,Classon Avenue,New York,Shoestring Press,"640 Classon Avenue, New York, NY 11238, United States of America"
Underpenny Museum Antique & Collectables,New York,11101,10-13,50th Avenue,New York,Underpenny Museum Antique & Collectables,"10-13 50th Avenue, New York, NY 11101, United States of America"
Walter Kerr Theatre,New York,10019,219,West 48th Street,New York,Walter Kerr Theatre,"219 West 48th Street, New York, NY 10019, United States of America"
FGD Gallery,New York,11215,535A,6th Avenue,New York,FGD Gallery,"535A 6th Avenue, New York, NY 11215, United States of America"
Eden Fine Art,New York,10017,437,Madison Avenue,New York,Eden Fine Art,"437 Madison Avenue, New York, NY 10017, United States of America"
Estudio,New York,11215,547,6th Avenue,New York,Estudio,"547 6th Avenue, New York, NY 11215, United States of America"
Eugene O'Neill Theatre,New York,10019,230,West 49th Street,New York,Eugene O'Neill Theatre,"230 West 49th Street, New York, NY 10019, United States of America"
Standing Room Comedy Club,New York,11101,47-42,Vernon Boulevard,New York,Standing Room Comedy Club,"47-42 Vernon Boulevard, New York, NY 11101, United States of America"
Almira Kennedy Coursey Amphitheater,New York,11221,N/A,Lafayette Avenue,New York,Almira Kennedy Coursey Amphitheater,"Lafayette Avenue, New York, NY 11221, United States of America"
Ambassador Theatre,New York,10019,219,West 49th Street,New York,Ambassador Theatre,"219 West 49th Street, New York, NY 10019, United States of America"
Radio City Music Hall,New York,10019,N/A,West 50th Street,New York,Radio City Music Hall,"West 50th Street, New York, NY 10019, United States of America"
Fountain Gallery,New York,10036,N/A,West 48th Street,New York,Fountain Gallery,"West 48th Street, New York, NY 10036, United States of America"
Carolines on Broadway,New York,10019,1626,Broadway,New York,Carolines on Broadway,"1626 Broadway, New York, NY 10019, United States of America"
Boccara Art,New York,11232,198,24th Street,New York,Boccara Art,"198 24th Street, New York, NY 11232, United States of America"
Under Minerva,New York,11232,656,5th Avenue,New York,Under Minerva,"656 5th Avenue, New York, NY 11232, United States of America"
Hootenanny Art Annex,New York,11215,413A,7th Avenue,New York,Hootenanny Art Annex,"413A 7th Avenue, New York, NY 11215, United States of America"
Winter Garden Theatre,New York,10019,1634,Broadway,New York,Winter Garden Theatre,"1634 Broadway, New York, NY 10019, United States of America"
Brooklyn Acting Lab,New York,11215,1012,8th Avenue,New York,Brooklyn Acting Lab,"1012 8th Avenue, New York, NY 11215, United States of America"
Gershwin Theatre,New York,10019,222,West 51st Street,New York,Gershwin Theatre,"222 West 51st Street, New York, NY 10019, United States of America"
Intrepid Museum,New York,10036,86,West 46th Street,New York,Intrepid Museum,"86 West 46th Street, New York, NY 10036, United States of America"
New World Stages,New York,10019,340,West 50th Street,New York,New World Stages,"340 West 50th Street, New York, NY 10019, United States of America"
My Gallery NYC,New York,11216,587,Franklin Avenue,New York,My Gallery NYC,"587 Franklin Avenue, New York, NY 11216, United States of America"
Circle in the Square Theatre,New York,10019,222,West 51st Street,New York,Circle in the Square Theatre,"222 West 51st Street, New York, NY 10019, United States of America"
Open Source Gallery,New York,11215,306,17th Street,New York,Open Source Gallery,"306 17th Street, New York, NY 11215, United States of America"
Brooklyn Museum,New York,11238,200,Eastern Parkway,New York,Brooklyn Museum,"200 Eastern Parkway, New York, NY 11238, United States of America"
Gasworks,New York,11215,673,5th Avenue,New York,Gasworks,"673 5th Avenue, New York, NY 11215, United States of America"
Winter Garden Theatre,New York,10019,N/A,8th Avenue,New York,Winter Garden Theatre,"8th Avenue, New York, NY 10019, United States of America"
Paley Center for Media,New York,10019,25,West 52nd Street,New York,Paley Center for Media,"25 West 52nd Street, New York, NY 10019, United States of America"
Wendy's Subway,New York,11207,379,Bushwick Avenue,New York,Wendy's Subway,"379 Bushwick Avenue, New York, NY 11207, United States of America"
Plaxall Gallary,New York,11101,5-25,46th Avenue,New York,Plaxall Gallary,"5-25 46th Avenue, New York, NY 11101, United States of America"
The Ear,New York,11206,255,Boerum Street,New York,The Ear,"255 Boerum Street, New York, NY 11206, United States of America"
Neil Simon Theater,New York,10019,250,West 52nd Street,New York,Neil Simon Theater,"250 West 52nd Street, New York, NY 10019, United States of America"
Slope Park Playground,New York,11218,N/A,19th Street,New York,Slope Park Playground,"19th Street, New York, NY 11218, United States of America"
Lucky Cheng's,New York,10019,242,West 52nd Street,New York,Lucky Cheng's,"242 West 52nd Street, New York, NY 10019, United States of America"
Vector Gallery,New York,11211,951,Grand Street,New York,Vector Gallery,"951 Grand Street, New York, NY 11211, United States of America"
Abe Art,New York,11238,660,Franklin Avenue,New York,Abe Art,"660 Franklin Avenue, New York, NY 11238, United States of America"
August Wilson Theatre,New York,10019,245,West 52nd Street,New York,August Wilson Theatre,"245 West 52nd Street, New York, NY 10019, United States of America"
MoMA,New York,10019,11,West 53rd Street,New York,MoMA,"11 West 53rd Street, New York, NY 10019, United States of America"
The Gutter,New York,11101,10-22,46th Avenue,New York,The Gutter,"10-22 46th Avenue, New York, NY 11101, United States of America"
Broadway Theatre,New York,10019,1681,Broadway,New York,Broadway Theatre,"1681 Broadway, New York, NY 10019, United States of America"
Museum of Modern Art (MoMA) films,New York,10019,11,West 53rd Street,New York,Museum of Modern Art (MoMA) films,"11 West 53rd Street, New York, NY 10019, United States of America"
Five Myles,New York,11238,558,Saint Johns Place,New York,Five Myles,"558 Saint Johns Place, New York, NY 11238, United States of America"
Soft Surplus,New York,11211,366,Devoe Street,New York,Soft Surplus,"366 Devoe Street, New York, NY 11211, United States of America"
Bowl Rite,Union City,07047,N/A,8th Street,New Jersey,Bowl Rite,"8th Street, Union City, NJ 07047, United States of America"
Grand Central Atelier,New York,11101,46-06,11th Street,New York,Grand Central Atelier,"46-06 11th Street, New York, NY 11101, United States of America"
Ed Sullivan Theater,New York,10019,N/A,Broadway,New York,Ed Sullivan Theater,"Broadway, New York, NY 10019, United States of America"
Ziegfeld Ballroom,New York,10019,141,West 54th Street,New York,Ziegfeld Ballroom,"141 West 54th Street, New York, NY 10019, United States of America"
The Bandshell,New York,11215,62,West Drive,New York,The Bandshell,"62 West Drive, New York, NY 11215, United States of America"
Transfer Gallery,New York,11211,1030,Metropolitan Avenue,New York,Transfer Gallery,"1030 Metropolitan Avenue, New York, NY 11211, United States of America"
Studio 54,New York,10019,254,West 54th Street,New York,Studio 54,"254 West 54th Street, New York, NY 10019, United States of America"
Hootenanny Art House,New York,11215,428,15th Street,New York,Hootenanny Art House,"428 15th Street, New York, NY 11215, United States of America"
International Studio & Curatorial Program,New York,11211,1040,Metropolitan Avenue,New York,International Studio & Curatorial Program,"1040 Metropolitan Avenue, New York, NY 11211, United States of America"
Irish Arts Center,New York,10019,N/A,West 51st Street,New York,Irish Arts Center,"West 51st Street, New York, NY 10019, United States of America"
Lesbian Herstory Archives,New York,11215,484,14th Street,New York,Lesbian Herstory Archives,"484 14th Street, New York, NY 11215, United States of America"
New York City Center,New York,10105,N/A,6½ Avenue,New York,New York City Center,"6½ Avenue, New York, NY 10105, United States of America"
MoMA PS1,New York,11101,N/A,46th Avenue,New York,MoMA PS1,"46th Avenue, New York, NY 11101, United States of America"
Eyebeam,New York,11206,199,Cook Street,New York,Eyebeam,"199 Cook Street, New York, NY 11206, United States of America"
The Daily Show with Trevor Noah,New York,10019,727,11th Avenue,New York,The Daily Show with Trevor Noah,"727 11th Avenue, New York, NY 10019, United States of America"
Dorsky Gallery,New York,11101,11-03,45th Avenue,New York,Dorsky Gallery,"11-03 45th Avenue, New York, NY 11101, United States of America"
Prospect Park Zoo,New York,11225,450,Flatbush Avenue,New York,Prospect Park Zoo,"450 Flatbush Avenue, New York, NY 11225, United States of America"
Zankel Hall,New York,10019,N/A,West 56th Street,New York,Zankel Hall,"West 56th Street, New York, NY 10019, United States of America"
Amos Eno Gallery,New York,11206,56,Bogart Street,New York,Amos Eno Gallery,"56 Bogart Street, New York, NY 11206, United States of America"
Syndicated Bar Theater Kitchen,New York,11206,40,Bogart Street,New York,Syndicated Bar Theater Kitchen,"40 Bogart Street, New York, NY 11206, United States of America"
