entertainment,city,postcode,housenumber,street,state,address1,address2
Brooklyn Boulders,New York,11217,575,Degraw Street,New York,Brooklyn Boulders,"575 Degraw Street, New York, NY 11217, United States of America"
Liberty Science Center,Jersey City,07305,222,Jersey City Boulevard,New Jersey,Liberty Science Center,"222 Jersey City Boulevard, Jersey City, NJ 07305, United States of America"
Pace Gallery,New York,10001,540,West 25th Street,New York,Pace Gallery,"540 West 25th Street, New York, NY 10001, United States of America"
Magnet Theater,New York,10001,254,West 29th Street,New York,Magnet Theater,"254 West 29th Street, New York, NY 10001, United States of America"
Hudson Guild Theatre,New York,10001,441,West 26th Street,New York,Hudson Guild Theatre,"441 West 26th Street, New York, NY 10001, United States of America"
Chelsea Park,New York,10001,N/A,West 27th Drive,New York,Chelsea Park,"West 27th Drive, New York, NY 10001, United States of America"
Theater Mitu,New York,11217,580A,Sackett Street,New York,Theater Mitu,"580A Sackett Street, New York, NY 11217, United States of America"
IMAX Dome Theater,Jersey City,07302,N/A,New Jersey Turnpike Newark Bay Extension,New Jersey,IMAX Dome Theater,"New Jersey Turnpike Newark Bay Extension, Jersey City, NJ 07302, United States of America"
MetroRock Williamsburg,New York,11211,150,Marcy Avenue,New York,MetroRock Williamsburg,"150 Marcy Avenue, New York, NY 11211, United States of America"
Joseph D. Williams Science Theater,Jersey City,07305,N/A,Phillip Street,New Jersey,Joseph D. Williams Science Theater,"Phillip Street, Jersey City, NJ 07305, United States of America"
Skyline Drive In NYC,New York,11222,N/A,Oak Street,New York,Skyline Drive In NYC,"Oak Street, New York, NY 11222, United States of America"
Statue of Liberty Museum,New York,07302,N/A,Flagpole Plaza,New York,Statue of Liberty Museum,"Flagpole Plaza, New York, NY 07302, United States of America"
AMC Kips Bay 15,New York,10016,570,2nd Avenue,New York,AMC Kips Bay 15,"570 2nd Avenue, New York, NY 10016, United States of America"
The Cutting Room,New York,10016,44,East 32nd Street,New York,The Cutting Room,"44 East 32nd Street, New York, NY 10016, United States of America"
Paul Robeson Theatre,New York,11221,40,Greene Avenue,New York,Paul Robeson Theatre,"40 Greene Avenue, New York, NY 11221, United States of America"
The McKittrick Hotel,New York,10001,N/A,West 27th Street,New York,The McKittrick Hotel,"West 27th Street, New York, NY 10001, United States of America"
Memorial Hall,New York,11205,205,Ryerson Street,New York,Memorial Hall,"205 Ryerson Street, New York, NY 11205, United States of America"
The City Reliquary,New York,11211,370,Metropolitan Avenue,New York,The City Reliquary,"370 Metropolitan Avenue, New York, NY 11211, United States of America"
The Canvas,New York,11249,132,Bedford Avenue,New York,The Canvas,"132 Bedford Avenue, New York, NY 11249, United States of America"
Littlefield,New York,11217,635,Sackett Street,New York,Littlefield,"635 Sackett Street, New York, NY 11217, United States of America"
e-flux,New York,11205,172,Classon Avenue,New York,e-flux,"172 Classon Avenue, New York, NY 11205, United States of America"
The Waterfront Museum,New York,11231,N/A,Conover Street,New York,The Waterfront Museum,"Conover Street, New York, NY 11231, United States of America"
Lucid Body House,New York,10016,230,Lexington Avenue,New York,Lucid Body House,"230 Lexington Avenue, New York, NY 10016, United States of America"
GP-81 Climbing Gym,New York,11222,81,Quay Street,New York,GP-81 Climbing Gym,"81 Quay Street, New York, NY 11222, United States of America"
Jaime Campiz Playground,New York,11211,N/A,Marcy Avenue,New York,Jaime Campiz Playground,"Marcy Avenue, New York, NY 11211, United States of America"
VR World,New York,10016,8,East 34th Street,New York,VR World,"8 East 34th Street, New York, NY 10016, United States of America"
Liberty State Park Interpretive Center,Jersey City,07305,275,Freedom Way,New Jersey,Liberty State Park Interpretive Center,"275 Freedom Way, Jersey City, NJ 07305, United States of America"
The Houdini Museum of New York,New York,10001,N/A,West 33rd Street,New York,The Houdini Museum of New York,"West 33rd Street, New York, NY 10001, United States of America"
ShapeShifter Lab,New York,11215,18,Whitwell Place,New York,ShapeShifter Lab,"18 Whitwell Place, New York, NY 11215, United States of America"
Textile Arts Center,New York,11215,505,Carroll Street,New York,Textile Arts Center,"505 Carroll Street, New York, NY 11215, United States of America"
Liberty State Park Interpretive Center,Jersey City,07302,N/A,Freedom Way,New Jersey,Liberty State Park Interpretive Center,"Freedom Way, Jersey City, NJ 07302, United States of America"
Martin E. Segal Theatre Center,New York,10016,365,5th Avenue,New York,Martin E. Segal Theatre Center,"365 5th Avenue, New York, NY 10016, United States of America"
The Gutter,New York,11249,200,North 14th Street,New York,The Gutter,"200 North 14th Street, New York, NY 11249, United States of America"
