tranportation,city,postcode,street,state,address2,longitude,latitude
Cadman Plaza West & Middagh Street,New York,11201,Cadman Plaza West,New York,"Cadman Plaza West, New York, NY 11201, United States of America",-73.9912785,40.699656
1st Avenue & East 1st Street,New York,10002,1st Avenue,New York,"1st Avenue, New York, NY 10002, United States of America",-73.9881611,40.7234922
2nd Avenue & East 3rd Street,New York,10035,2nd Avenue,New York,"2nd Avenue, New York, NY 10035, United States of America",-73.9901735,40.725393
High Street,New York,11201,Cadman Plaza West,New York,"Cadman Plaza West, New York, NY 11201, United States of America",-73.9914349,40.6992975
Grand Street & Willett Street,New York,10002,Grand Street,New York,"Grand Street, New York, NY 10002, United States of America",-73.9829288,40.7149265
Bowery & East 4th Street,New York,10012,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.9915324,40.7267131
Cadman Plaza West @ Cadman Plaza Park,New York,11201,Cadman Plaza West,New York,"Cadman Plaza West, New York, NY 11201, United States of America",-73.9911832,40.6991028
Bowery & East 4th Street,New York,10012,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.9917874,40.7269174
,New York,10014,7th Avenue South,New York,"New York, NY 10014, United States of America",-74.0046638,40.7306008
359 Madison Street @ Vladeck Houses,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9823491,40.7134571
East Houston Street & Avenue A,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9859476,40.722647
Clark Street,New York,11201,Clark Street,New York,"New York, NY 11201, United States of America",-73.9930222,40.6974653
1st Avenue & East 3rd Street,New York,10009,1st Avenue,New York,"1st Avenue, New York, NY 10009, United States of America",-73.9874634,40.7243938
356 Madison Street @ Vladeck Houses,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9818857,40.7133758
6th Avenue & West 3rd Street,New York,10014,6th Avenue,New York,"6th Avenue, New York, NY 10014, United States of America",-74.0013897,40.7308271
York Street,New York,11201,Jay Street,New York,"Jay Street, New York, NY 11201, United States of America",-73.986751,40.701397
Grand Street & Abraham Kazan Street,New York,10002,Grand Street,New York,"Grand Street, New York, NY 10002, United States of America",-73.9814699,40.7145111
Avenue A & East 3rd Street,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9855504,40.7234635
East Houston Street & Avenue B,New York,10002,East Houston Street,New York,"East Houston Street, New York, NY 10002, United States of America",-73.9841125,40.7217479
East Houston Street & Clinton Street,New York,10002,East Houston Street,New York,"East Houston Street, New York, NY 10002, United States of America",-73.9836882,40.7212687
Broadway & Waverly Place,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9935603,40.7293656
Sands Street & Pearl Street,New York,11201,Sands Street,New York,"Sands Street, New York, NY 11201, United States of America",-73.9873744,40.699907
Jackson Street & Madison Street,New York,10002,Jackson Street,New York,"Jackson Street, New York, NY 10002, United States of America",-73.9807612,40.7134366
West 4th Street–Washington Square,New York,10014,West 4th Street,New York,"West 4th Street, New York, NY 10014, United States of America",-74.0009941,40.731643
,New York,10002,Manhattan Bridge Pedestrian Path,New York,"New York, NY 10002, United States of America",-73.9868772,40.700162
2nd Avenue & East 6th Street,New York,10035,2nd Avenue,New York,"2nd Avenue, New York, NY 10035, United States of America",-73.988893,40.7271156
Avenue A & East 3rd Street,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9850633,40.7238319
1st Avenue & East 4th Street,New York,10009,1st Avenue,New York,"1st Avenue, New York, NY 10009, United States of America",-73.9866614,40.7255129
NYU Trolley Stop,New York,10012,Washington Square East,New York,"Washington Square East, New York, NY 10012, United States of America",-73.9956415,40.7305783
Broadway & Waverly Place,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9932451,40.7297457
Cadman Plaza West & Tillary Street,New York,11201,Cadman Plaza West,New York,"Cadman Plaza West, New York, NY 11201, United States of America",-73.9911624,40.6966963
7th Avenue & Barrow Street,New York,10014,7th Avenue South,New York,"7th Avenue South, New York, NY 10014, United States of America",-74.0035717,40.7325494
Delancey Street & Columbia Street,New York,10009,Columbia Street,New York,"Columbia Street, New York, NY 10009, United States of America",-73.980304,40.7164997
Paulus Hook Ferry Terminal,Jersey City,07311,Paulus Hook Pier,New Jersey,"Paulus Hook Pier, Jersey City, NJ 07311, United States of America",-74.0321327,40.7138158
Avenue A & East 6th Street,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9847299,40.724565
Christopher Street & Washington Street,New York,10014,Christopher Street,New York,"Christopher Street, New York, NY 10014, United States of America",-74.0089848,40.7326946
East Houston Street & Ridge Street,New York,10002,East Houston Street,New York,"East Houston Street, New York, NY 10002, United States of America",-73.9818344,40.7207312
Bridge Park Drive & Joralemon Street,New York,11201,Bridge Park Drive,New York,"Bridge Park Drive, New York, NY 11201, United States of America",-74.0008129,40.6931101
Christopher Street & Greenwich Street,New York,10014,Christopher Street,New York,"Christopher Street, New York, NY 10014, United States of America",-74.0078115,40.7328737
Lafayette Street & Astor Place,New York,10003,Lafayette Street,New York,"Lafayette Street, New York, NY 10003, United States of America",-73.9915037,40.7297087
Christopher Street,New York,10014,Christopher Street,New York,"New York, NY 10014, United States of America",-74.0069062,40.7329877
8th Street–New York University,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9926289,40.730328
,Jersey City,07311,Paulus Hook Pier,New Jersey,"Jersey City, NJ 07311, United States of America",-74.0327801467434,40.71364225
Astor Place,New York,10003,Lafayette Street,New York,"Lafayette Street, New York, NY 10003, United States of America",-73.991398,40.7298513
,New York,11251,FDR Drive,New York,"New York, NY 11251, United States of America",-73.9792325480706,40.7101751
Cadman Plaza West & Tillary Street,New York,11201,Cadman Plaza West,New York,"Cadman Plaza West, New York, NY 11201, United States of America",-73.9908963,40.6958855
Exchange Place,Jersey City,07311,Hudson River Waterfront Walkway,New Jersey,"Hudson River Waterfront Walkway, Jersey City, NJ 07311, United States of America",-74.0324551,40.7167341
East 8th Street & Mercer Street,New York,10003,East 8th Street,New York,"East 8th Street, New York, NY 10003, United States of America",-73.992926,40.7307457
Corlears Hook,New York,11251,FDR Drive,New York,"FDR Drive, New York, NY 11251, United States of America",-73.9792319,40.7101297
Hudson Street & Christopher Street,New York,10014,Hudson Street,New York,"Hudson Street, New York, NY 10014, United States of America",-74.006243,40.7333689
East 8th Street & Lafayette Street,New York,10003,East 8th Street,New York,"East 8th Street, New York, NY 10003, United States of America",-73.9913887,40.7301208
Christopher Street & Bleecker Street,New York,10014,Christopher Street,New York,"Christopher Street, New York, NY 10014, United States of America",-74.0047605,40.7333663
Brooklyn Bridge Park Pier 6/Atlantic Avenue,New York,11201,Brooklyn Bridge Park Greenway,New York,"Brooklyn Bridge Park Greenway, New York, NY 11201, United States of America",-74.0020061,40.6924305
Avenue A & East 5th Street,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9841665,40.7249779
West 10th Street & Washington Street,New York,10014,West 10th Street,New York,"West 10th Street, New York, NY 10014, United States of America",-74.0087128,40.7333136
East 8th Street & 5th Avenue,New York,10003,East 8th Street,New York,"East 8th Street, New York, NY 10003, United States of America",-73.995945,40.732023
West 10th Street & Greenwich Street,New York,10014,West 10th Street,New York,"West 10th Street, New York, NY 10014, United States of America",-74.0075111,40.7335067
Ilha dos governadores,New York,10004,Carder Road,New York,"Carder Road, New York, NY 10004, United States of America",-74.0150361,40.6932017
East 8th Street & 5th Avenue,New York,10011,West 8th Street,New York,"West 8th Street, New York, NY 10011, United States of America",-73.9965554,40.7322906
Ilha dos governadores,New York,10004,Carder Road,New York,"Carder Road, New York, NY 10004, United States of America",-74.0152945,40.6932682
Harborside,Jersey City,07311,Hoboken Newport Walkway,New Jersey,"Hoboken Newport Walkway, Jersey City, NJ 07311, United States of America",-74.0321472,40.7188701
6th Avenue & Waverly Place,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-73.9997962,40.7331031
Christopher Street & 7th Avenue South,New York,10014,Christopher Street,New York,"Christopher Street, New York, NY 10014, United States of America",-74.003263,40.7335852
Saint Marks Place & 2nd Avenue,New York,10003,Saint Mark's Place,New York,"Saint Mark's Place, New York, NY 10003, United States of America",-73.9879396,40.7285967
Christopher Street–Sheridan Square,New York,10014,Christopher Street,New York,"Christopher Street, New York, NY 10014, United States of America",-74.0028294,40.7336088
Jay Street & Concord Street,New York,11201,Jay Street,New York,"Jay Street, New York, NY 11201, United States of America",-73.9871457,40.697514
Jay Street & Concord Street,New York,11201,Concord Street,New York,"Concord Street, New York, NY 11201, United States of America",-73.986951,40.6976146
,New York,11201,Gold Street,New York,"New York, NY 11201, United States of America",-73.9830115,40.7011651
Soissons Landing,New York,10004,Carder Road,New York,"Carder Road, New York, NY 10004, United States of America",-74.015306,40.6930135
Avenue C & East 3rd Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9808329,40.7214941
4th Avenue & East 9th Street,New York,10003,4th Avenue,New York,"4th Avenue, New York, NY 10003, United States of America",-73.9904924,40.7303551
,New York,11251,York Street,New York,"New York, NY 11251, United States of America",-73.9826212,40.7012821
West 8th Street & 6th Avenue,New York,10011,West 8th Street,New York,"West 8th Street, New York, NY 10011, United States of America",-73.9991692,40.7333804
East 9th Street & Broadway,New York,10003,East 9th Street,New York,"East 9th Street, New York, NY 10003, United States of America",-73.9923393,40.7314134
2nd Avenue & Saint Marks Place,New York,10035,2nd Avenue,New York,"2nd Avenue, New York, NY 10035, United States of America",-73.9876078,40.7288868
Christopher Street & Waverly Place,New York,10014,Christopher Street,New York,"Christopher Street, New York, NY 10014, United States of America",-74.0015029,40.7338658
7th Avenue South and West 10th Street,New York,10014,7th Avenue South,New York,"7th Avenue South, New York, NY 10014, United States of America",-74.0027043,40.7340254
East 9th Street & Cooper Square,New York,10003,East 9th Street,New York,"East 9th Street, New York, NY 10003, United States of America",-73.9903652,40.730569
Grand Street & FDR Drive,New York,11251,Grand Street,New York,"Grand Street, New York, NY 11251, United States of America",-73.9778607,40.7132399
East 9th Street & 3rd Avenue,New York,10003,East 9th Street,New York,"East 9th Street, New York, NY 10003, United States of America",-73.9892658,40.7301127
Avenue C & East 3rd Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9803463,40.7218715
Sands Street & Gold Street,New York,11251,Sands Street,New York,"Sands Street, New York, NY 11251, United States of America",-73.983342,40.6998835
Tillary Street & Adams Street,New York,11201,Tillary Street,New York,"Tillary Street, New York, NY 11201, United States of America",-73.9881778,40.6960094
West 10th Street & 7 Avenue South,New York,10014,West 10th Street,New York,"West 10th Street, New York, NY 10014, United States of America",-74.0027227,40.7342445
West 9th Street & 5th Avenue,New York,10011,West 9th Street,New York,"West 9th Street, New York, NY 10011, United States of America",-73.996336,40.7331038
Court Street,New York,11201,Montague Street,New York,"Montague Street, New York, NY 11201, United States of America",-73.991777,40.6941
Exchange Place,Jersey City,07311,Hudson Street,New Jersey,"Hudson Street, Jersey City, NJ 07311, United States of America",-74.0341139,40.7160215
Saint Marks Place & 1st Avenue,New York,10003,Saint Mark's Place,New York,"Saint Mark's Place, New York, NY 10003, United States of America",-73.9849703,40.7273924
Avenue D & East Houston Street,New York,10002,Columbia Street,New York,"Columbia Street, New York, NY 10002, United States of America",-73.9788443,40.7195427
East 9th Street & 2nd Avenue,New York,10003,East 9th Street,New York,"East 9th Street, New York, NY 10003, United States of America",-73.9875178,40.7293754
Sands Street & Gold Street,New York,11251,Sands Street,New York,"Sands Street, New York, NY 11251, United States of America",-73.9832159,40.6996863
Gold Street & Sands Street,New York,11251,Gold Street,New York,"Gold Street, New York, NY 11251, United States of America",-73.9828505,40.7000091
9th Street,New York,10011,Christopher Street,New York,"Christopher Street, New York, NY 10011, United States of America",-73.9996395,40.7340749
Christopher Columbus Drive at Hudson Street,Jersey City,07311,Christopher Columbus Drive,New Jersey,"Christopher Columbus Drive, Jersey City, NJ 07311, United States of America",-74.0341695,40.7170014
5th Avenue & West 10th street,New York,10035,5th Avenue,New York,"5th Avenue, New York, NY 10035, United States of America",-73.9957571,40.7332391
Greenwich Avenue & Christopher Street,New York,10014,Christopher Street,New York,"Christopher Street, New York, NY 10014, United States of America",-73.9997852,40.7341714
3rd Avenue & East 10th Street,New York,10035,3rd Avenue,New York,"3rd Avenue, New York, NY 10035, United States of America",-73.989061,40.7305305
Gold Street & Sands Street,New York,11201,Gold Street,New York,"Gold Street, New York, NY 11201, United States of America",-73.9830332,40.699434
East Houston Street & Avenue D,New York,10002,East Houston Street,New York,"East Houston Street, New York, NY 10002, United States of America",-73.9784972,40.7196452
West 9th Street & 6th Avenue,New York,10011,West 9th Street,New York,"West 9th Street, New York, NY 10011, United States of America",-73.9988966,40.7341609
1st Avenue & East 9th Street,New York,10009,1st Avenue,New York,"1st Avenue, New York, NY 10009, United States of America",-73.9848639,40.7280362
Saint Marks Place & Avenue A,New York,10009,Saint Mark's Place,New York,"Saint Mark's Place, New York, NY 10009, United States of America",-73.9832875,40.7266773
Avenue D & East Houston Street,New York,10009,Avenue D,New York,"Avenue D, New York, NY 10009, United States of America",-73.9784304,40.7201904
Liberty State Park,Jersey City,07311,Hudson River Waterfront Walkway,New Jersey,"Hudson River Waterfront Walkway, Jersey City, NJ 07311, United States of America",-74.0344078,40.7075327
Adams Street & Johnson Street,New York,11201,Adams Street,New York,"Adams Street, New York, NY 11201, United States of America",-73.9890754,40.6945766
Harborside Financial Center,Jersey City,07311,Hudson Street,New Jersey,"Hudson Street, Jersey City, NJ 07311, United States of America",-74.0339995,40.7194979
3rd Avenue & East 10th Street,New York,10035,3rd Avenue,New York,"3rd Avenue, New York, NY 10035, United States of America",-73.9889988,40.731009
Hudson Street & Perry Street,New York,10014,Hudson Street,New York,"Hudson Street, New York, NY 10014, United States of America",-74.0059326,40.7353404
Avenue A & Saint Marks Place,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9828312,40.7268878
Avenue A & East 9th Street,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9828928,40.72707
Montgomery Street at Greene Street,Jersey City,07311,Montgomery Street,New Jersey,"Montgomery Street, Jersey City, NJ 07311, United States of America",-74.0353351,40.7166742
Avenue C & East 5th Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9794705,40.7231029
Cadman Plaza West & Montague Street,New York,11231,Court Street,New York,"Court Street, New York, NY 11231, United States of America",-73.9903404,40.6934991
Avenue C & East 6th Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9795406,40.7233071
Avenue D & East 4th Street,New York,10009,Avenue D,New York,"Avenue D, New York, NY 10009, United States of America",-73.978068,40.7209984
Cadman Plaza West & Remsen Street,New York,11231,Court Street,New York,"Court Street, New York, NY 11231, United States of America",-73.9904135,40.693347
7th Avenue South and Waverly Place,New York,10014,7th Avenue South,New York,"7th Avenue South, New York, NY 10014, United States of America",-74.00195,40.735379
Essex Street,Jersey City,07302,Essex Street,New Jersey,"Jersey City, NJ 07302, United States of America",-74.0359523,40.7128648
East 9th Street & Avenue A,New York,10003,East 9th Street,New York,"East 9th Street, New York, NY 10003, United States of America",-73.9829363,40.7274336
6th Avenue & W 10th Street,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-73.9984515,40.734947
3rd Avenue & East 12th Street,New York,10035,3rd Avenue,New York,"3rd Avenue, New York, NY 10035, United States of America",-73.9882032,40.7316889
Atlantic Avenue & Henry Street,New York,11208,Atlantic Avenue,New York,"Atlantic Avenue, New York, NY 11208, United States of America",-73.9960804,40.6908154
5th Avenue & West 12th Street,New York,10035,5th Avenue,New York,"5th Avenue, New York, NY 10035, United States of America",-73.9948531,40.7344538
Borough Hall,New York,11201,Joralemon Street,New York,"Joralemon Street, New York, NY 11201, United States of America",-73.9897911,40.6930294
East 10th Street & Avenue A,New York,10009,East 10th Street,New York,"East 10th Street, New York, NY 10009, United States of America",-73.9819733,40.727664
Navy Street & Sands Street,New York,11251,Navy Street,New York,"Navy Street, New York, NY 11251, United States of America",-73.9803594,40.6995469
East 10th Street & Avenue A,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9820406,40.7278257
Adams Street & Brooklyn Supreme Court,New York,11201,Adams Street,New York,"Adams Street, New York, NY 11201, United States of America",-73.9891727,40.6929241
Columbia Street & Congress Street,New York,11231,Columbia Street Greenway,New York,"Columbia Street Greenway, New York, NY 11231, United States of America",-74.0006589,40.6894654
Borough Hall,New York,11201,Joralemon Street,New York,"Joralemon Street, New York, NY 11201, United States of America",-73.9900634,40.6924142
Avenue C & East 7th Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.978597,40.7242666
Avenue D & East 5th Street,New York,10009,Avenue D,New York,"Avenue D, New York, NY 10009, United States of America",-73.9771432,40.7219942
Gold Street & Tillary Street,New York,11251,Gold Street,New York,"Gold Street, New York, NY 11251, United States of America",-73.9830869,40.6965774
Avenue C & East 8th Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9786732,40.7244956
Adams Street & Brooklyn Supreme Court,New York,11201,Adams Street,New York,"Adams Street, New York, NY 11201, United States of America",-73.9891478,40.6926491
Gold Street & Tillary Street,New York,11251,Gold Street,New York,"Gold Street, New York, NY 11251, United States of America",-73.9832893,40.6963024
Avenue A & East 11th Street,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9820429,40.7282553
1st Avenue & East 11th Street,New York,10009,1st Avenue,New York,"1st Avenue, New York, NY 10009, United States of America",-73.9836857,40.7296206
Atlantic Avenue & Clinton Street,New York,11208,Atlantic Avenue,New York,"Atlantic Avenue, New York, NY 11208, United States of America",-73.994588,40.6904061
Grand Street at Washington Street,Jersey City,07304,Grand Street,New Jersey,"Grand Street, Jersey City, NJ 07304, United States of America",-74.0374728,40.7153548
Livingston Street & Court Street,New York,11217,Livingston Street,New York,"Livingston Street, New York, NY 11217, United States of America",-73.9911541,40.6914176
Bethune Street & Greenwich Street,New York,10014,Bethune Street,New York,"Bethune Street, New York, NY 10014, United States of America",-74.0063279,40.7369939
Columbia Street & Warren Street,New York,11231,Columbia Street,New York,"Columbia Street, New York, NY 11231, United States of America",-74.0007107,40.688936
Court Street & Schermerhorn Street,New York,11231,Court Street,New York,"Court Street, New York, NY 11231, United States of America",-73.9917723,40.6911426
East 10th Street & Avenue B,New York,10009,East 10th Street,New York,"East 10th Street, New York, NY 10009, United States of America",-73.9802066,40.7270581
8th Avenue & Bleecker Street,New York,10014,8th Avenue,New York,"8th Avenue, New York, NY 10014, United States of America",-74.005225,40.7370738
6th Avenue & West 12th Street,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-73.997517,40.7362481
Washington Street at Christopher Columbus Drive,Jersey City,07311,Washington Street,New Jersey,"Washington Street, Jersey City, NJ 07311, United States of America",-74.0372938,40.7179132
Montgomery Street at Washington Street,Jersey City,07306,Montgomery Street,New Jersey,"Montgomery Street, Jersey City, NJ 07306, United States of America",-74.0375919,40.7167163
7th Avenue & West 12th Street,New York,10001,7th Avenue,New York,"7th Avenue, New York, NY 10001, United States of America",-74.0010693,40.7368694
,New York,10003,4th Avenue,New York,"New York, NY 10003, United States of America",-73.9897328,40.733822
East 10th Street & Avenue B,New York,10009,East 10th Street,New York,"East 10th Street, New York, NY 10009, United States of America",-73.9795847,40.7266566
Montomery Street at Washington Street,Jersey City,07311,Montgomery Street,New Jersey,"Montgomery Street, Jersey City, NJ 07311, United States of America",-74.0376742,40.7169512
Avenue A & East 11th Street,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9814856,40.7286881
Broadway/East 13th Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9909411,40.7344668
Flushing Avenue & Navy Street,New York,11237,Flushing Avenue,New York,"Flushing Avenue, New York, NY 11237, United States of America",-73.9801059,40.6981724
4th Avenue & East 14th Street,New York,10003,4th Avenue,New York,"4th Avenue, New York, NY 10003, United States of America",-73.9899821,40.7341217
Boerum Place & Joralemon Street,New York,11201,Boerum Place,New York,"Boerum Place, New York, NY 11201, United States of America",-73.9893584,40.6917517
3rd Avenue & East 14th Street,New York,10035,3rd Avenue,New York,"3rd Avenue, New York, NY 10035, United States of America",-73.9875313,40.7329746
2nd Avenue & East 13th Street,New York,10035,2nd Avenue,New York,"2nd Avenue, New York, NY 10035, United States of America",-73.9854377,40.7318624
Broadway/East 14th Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9909083,40.7346297
East 14th Street & Irving Place,New York,10003,East 14th Street,New York,"East 14th Street, New York, NY 10003, United States of America",-73.9889896,40.7339518
Union Square,New York,10003,East 14th Street,New York,"East 14th Street, New York, NY 10003, United States of America",-73.9903599,40.734603
Jay Street & Willoughby Street,New York,11201,Jay Street,New York,"Jay Street, New York, NY 11201, United States of America",-73.9873838,40.6923509
East 14th Street & 5th Avenue,New York,10003,East 14th Street,New York,"East 14th Street, New York, NY 10003, United States of America",-73.9931113,40.7356887
Jay Street–MetroTech,New York,11201,Jay Street,New York,"Jay Street, New York, NY 11201, United States of America",-73.987342,40.692338
East 14th Street & 3rd Avenue,New York,10003,East 14th Street,New York,"East 14th Street, New York, NY 10003, United States of America",-73.9867269,40.7329904
2nd Avenue & East 14th Street,New York,10035,2nd Avenue,New York,"2nd Avenue, New York, NY 10035, United States of America",-73.9852252,40.7321471
8th Avenue & West 12th Street,New York,10014,8th Avenue,New York,"8th Avenue, New York, NY 10014, United States of America",-74.0044411,40.7377583
East 14th Street & Union Square West,New York,10003,East 14th Street,New York,"East 14th Street, New York, NY 10003, United States of America",-73.9919969,40.7354172
Avenue C & East 10th Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9777786,40.7256779
3rd Avenue,New York,10003,East 14th Street,New York,"East 14th Street, New York, NY 10003, United States of America",-73.986821,40.7331529
East 14th Street & 3rd Avenue,New York,10003,East 14th Street,New York,"East 14th Street, New York, NY 10003, United States of America",-73.9875592,40.7335552
Atlantic Avenue & Court Street,New York,11208,Atlantic Avenue,New York,"Atlantic Avenue, New York, NY 11208, United States of America",-73.9926756,40.6898763
14th Street–Union Square,New York,10003,Union Square East,New York,"Union Square East, New York, NY 10003, United States of America",-73.9899805,40.7347942
East 10th Street & Avenue C,New York,10009,East 10th Street,New York,"East 10th Street, New York, NY 10009, United States of America",-73.9779084,40.7260779
Court Street & Atlantic Avenue,New York,11231,Court Street,New York,"Court Street, New York, NY 11231, United States of America",-73.992354,40.6898726
Washington Boulevard at 4th Street,Jersey City,07311,Washington Boulevard,New Jersey,"Washington Boulevard, Jersey City, NJ 07311, United States of America",-74.0363892,40.7227657
14th Street,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-73.9970695,40.7370478
Jay Street & Willoughby Street,New York,11201,Jay Street,New York,"Jay Street, New York, NY 11201, United States of America",-73.9872551,40.6920075
East 14th Street & 2nd Avenue,New York,10003,East 14th Street,New York,"East 14th Street, New York, NY 10003, United States of America",-73.9846215,40.7320956
East 14th Street & 2nd Avenue,New York,10003,East 14th Street,New York,"East 14th Street, New York, NY 10003, United States of America",-73.985292,40.7325964
3rd Avenue & East 14th Street,New York,10035,3rd Avenue,New York,"3rd Avenue, New York, NY 10035, United States of America",-73.986849,40.7335592
West 14th Street & 6th Avenue,New York,10011,West 14th Street,New York,"West 14th Street, New York, NY 10011, United States of America",-73.9964914,40.7371174
Newport,Jersey City,07311,Hoboken Newport Walkway- Hudson River Waterfront Walkway,New Jersey,"Jersey City, NJ 07311, United States of America",-74.0344862,40.726036
East 10th Street & Avenue C,New York,10009,East 10th Street,New York,"402 East 10th Street, New York, NY 10009, United States of America",-73.9771755,40.7256075
Grand Street at Warren Street,Jersey City,07304,Grand Street,New Jersey,"Grand Street, Jersey City, NJ 07304, United States of America",-74.0391986,40.7155241
Boerum Place & Livingston Street,New York,11201,Boerum Place,New York,"Boerum Place, New York, NY 11201, United States of America",-73.9891894,40.6908066
Jay Street & Fulton Mall,New York,11201,Jay Street,New York,"Jay Street, New York, NY 11201, United States of America",-73.9873868,40.6916624
Fulton Mall & Smith Street,New York,11201,Fulton Mall,New York,"Fulton Mall, New York, NY 11201, United States of America",-73.9876059,40.6915138
14th Street,New York,10001,7th Avenue,New York,"7th Avenue, New York, NY 10001, United States of America",-74.0001587,40.7379008
6th Avenue,New York,10011,West 14th Street,New York,"West 14th Street, New York, NY 10011, United States of America",-73.997068,40.7374588
Hudson Street & Jane Street,New York,10014,Hudson Street,New York,"Hudson Street, New York, NY 10014, United States of America",-74.0056631,40.7384069
Atlantic Avenue & Court Street,New York,11208,Atlantic Avenue,New York,"Atlantic Avenue, New York, NY 11208, United States of America",-73.9920555,40.6894931
8th Avenue & West 4th Street,New York,10014,8th Avenue,New York,"8th Avenue, New York, NY 10014, United States of America",-74.0037556,40.7383653
Montromery Street at Warren Street,Jersey City,07306,Montgomery Street,New Jersey,"Montgomery Street, Jersey City, NJ 07306, United States of America",-74.0392539,40.716902
Grand Street at Warren Street,Jersey City,07304,Grand Street,New Jersey,"Grand Street, Jersey City, NJ 07304, United States of America",-74.0395198,40.7154437
Harsimus Cove,Jersey City,07311,Metro Plaza Drive,New Jersey,"Metro Plaza Drive, Jersey City, NJ 07311, United States of America",-74.0371987,40.722516
Jay Street–MetroTech,New York,11201,Willoughby Street,New York,"Willoughby Street, New York, NY 11201, United States of America",-73.985942,40.69218
East 14th Street & 1st Avenue,New York,10009,East 14th Street,New York,"East 14th Street, New York, NY 10009, United States of America",-73.9823163,40.7311389
West 14th Street & 6th Avenue,New York,10011,West 14th Street,New York,"West 14th Street, New York, NY 10011, United States of America",-73.9972499,40.7376456
Fulton Mall & Smith Street,New York,11201,Fulton Mall,New York,"Fulton Mall, New York, NY 11201, United States of America",-73.9871478,40.6914282
14th Street–Union Square,New York,10003,East 15th Street,New York,"East 15th Street, New York, NY 10003, United States of America",-73.9906491,40.7357611
Avenue A & East 13th Street,New York,10009,Avenue A,New York,"Avenue A, New York, NY 10009, United States of America",-73.9806222,40.7299042
Avenue C & East 11th Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9770922,40.7262933
Washington Boulevard at PATH Station,Jersey City,07310,Washington Boulevard,New Jersey,"Washington Boulevard, Jersey City, NJ 07310, United States of America",-74.0344536,40.7269637
8th Avenue & Horatio Street,New York,10011,8th Avenue,New York,"8th Avenue, New York, NY 10011, United States of America",-74.0034355,40.738642
7th Avenue & West 14th Street,New York,10001,7th Avenue,New York,"7th Avenue, New York, NY 10001, United States of America",-74.0000106,40.7383353
Newport,Jersey City,07310,Washington Boulevard,New Jersey,"Washington Boulevard, Jersey City, NJ 07310, United States of America",-74.0347553,40.7267989
West 14th Street & 7th Avenue,New York,10011,14th Street/6th Avenue-7th Subway transfer,New York,"14th Street/6th Avenue-7th Subway transfer, New York, NY 10011, United States of America",-73.9992199,40.7382635
Smith Street & Livingston Street,New York,11231,Smith Street,New York,"Smith Street, New York, NY 11231, United States of America",-73.9875555,40.6909239
1st Avenue,New York,10009,East 14th Street,New York,"East 14th Street, New York, NY 10009, United States of America",-73.9814231,40.7308653
Liberty Harbor,Jersey City,07302,Hudson River Waterfront Walkway,New Jersey,"Hudson River Waterfront Walkway, Jersey City, NJ 07302, United States of America",-74.0399336,40.7096231
Greenwich St/ Horatio St,New York,10014,Greenwich Street,New York,"Greenwich Street, New York, NY 10014, United States of America",-74.0063977,40.7388494
