tranportation,city,postcode,street,state,address2,longitude,latitude
Church Street/Liberty Street,New York,10006,Church Street,New York,"Church Street, New York, NY 10006, United States of America",-74.0113816,40.7099415
World Trade Center,New York,10007,Greenwich Street,New York,"180 Greenwich Street, New York, NY 10007, United States of America",-74.012527,40.7119004
WTC Cortlandt,New York,10048,Greenwich Street,New York,"Greenwich Street, New York, NY 10048, United States of America",-74.0122698,40.7111153
Madison Street & Saint James Place,New York,10038,Madison Street,New York,"Madison Street, New York, NY 10038, United States of America",-73.9994034,40.7118912
Pearl St & Fulton St,New York,10038,Pearl Street,New York,"Pearl Street, New York, NY 10038, United States of America",-74.0037378,40.7079435
Broadway & Franklin Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0035031,40.7176275
Pearl St & Fulton St,New York,10038,Pearl Street,New York,"Pearl Street, New York, NY 10038, United States of America",-74.0035241,40.7078104
Worth Street & Mott Street,New York,10007,Park Row,New York,"Park Row, New York, NY 10007, United States of America",-73.9986904,40.7133183
Chambers Street & Greenwich Street,New York,10282,Chambers Street,New York,"Chambers Street, New York, NY 10282, United States of America",-74.0114279,40.7166019
Broadway & Thames Street,New York,10006,Thames Street,New York,"Thames Street, New York, NY 10006, United States of America",-74.0110824,40.7086881
Broadway & White Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0030433,40.7181885
Madison Street & Oliver Street,New York,10038,Madison Street,New York,"Madison Street, New York, NY 10038, United States of America",-73.9979427,40.711898
Broadway & Walker Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0027133,40.7185463
Franklin Street,New York,10014,Varick Street,New York,"Varick Street, New York, NY 10014, United States of America",-74.0069428,40.7191096
Wall Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0114693,40.7079284
East Broadway & Catherine Street,New York,10002,East Broadway,New York,"East Broadway, New York, NY 10002, United States of America",-73.9975748,40.7135098
Trinity Place & Thames Street,New York,10006,Trinity Place,New York,"Trinity Place, New York, NY 10006, United States of America",-74.0124025,40.7084747
Wall Street,New York,10038,William Street,New York,"William Street, New York, NY 10038, United States of America",-74.0091832,40.7067241
Broadway & Walker Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0025095,40.7188025
East Broadway & Catherine Street,New York,10278,Catherine Street,New York,"Catherine Street, New York, NY 10278, United States of America",-73.9974054,40.7133786
Madison Street & Catherine Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9973248,40.7121023
Varick Street & North Moore Street,New York,10014,Varick Street,New York,"Varick Street, New York, NY 10014, United States of America",-74.0069797,40.7195148
West Street & Chambers Street,New York,10282,West Street,New York,"West Street, New York, NY 10282, United States of America",-74.0125425,40.7173697
Madison Street & Catherine Street,New York,10038,Madison Street,New York,"Madison Street, New York, NY 10038, United States of America",-73.9971549,40.7119603
Trinity Place/Rector Street,New York,10006,Trinity Place,New York,"Trinity Place, New York, NY 10006, United States of America",-74.012582,40.7082196
Broadway & Rector Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0119528,40.7075497
Chinatowns Communter Van,New York,10002,Division Street,New York,"Division Street, New York, NY 10002, United States of America",-73.9969264,40.7141434
Trinity Place & Rector Street,New York,10006,Trinity Place,New York,"Trinity Place, New York, NY 10006, United States of America",-74.0127315,40.7079741
Canal Street,New York,10013,Centre Street,New York,"Centre Street, New York, NY 10013, United States of America",-73.999892,40.718092
Canal Street,New York,10013,Canal Street,New York,"New York, NY 10013, United States of America",-74.0007681,40.7186195
Canal Street,New York,10013,Lafayette Street,New York,"Lafayette Street, New York, NY 10013, United States of America",-74.0004678,40.7184961
,New York,10013,Walker Street,New York,"New York, NY 10013, United States of America",-74.0055688,40.7200047
Harrison Street & West Street,New York,10013,Harrison Street,New York,"Harrison Street, New York, NY 10013, United States of America",-74.011363,40.718817
Hudson Street & North Moore Street,New York,10014,Hudson Street,New York,"Hudson Street, New York, NY 10014, United States of America",-74.0084953,40.7198505
Broad Street,New York,10004,Broad Street,New York,"New York, NY 10004, United States of America",-74.0110604,40.7064906
Broadway and Exchange Alley,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0121754,40.7070773
Water Street & Wall Street,New York,10004,Water Street,New York,"Water Street, New York, NY 10004, United States of America",-74.0068615,40.705422
Canal Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.001775,40.719527
Murray Street & North End Avenue,New York,10282,Murray Street,New York,"Murray Street, New York, NY 10282, United States of America",-74.0150924,40.7157702
Trinity Place/Exchange Alley,New York,10006,Trinity Place,New York,"Trinity Place, New York, NY 10006, United States of America",-74.0130541,40.7074981
Water Street & Wall Street,New York,10004,Water Street,New York,"Water Street, New York, NY 10004, United States of America",-74.0077758,40.7050694
South End Avenue & Gateway Plaza,New York,10280,South End Avenue,New York,"South End Avenue, New York, NY 10280, United States of America",-74.0159795,40.7106634
Rector Street,New York,10006,Trinity Place,New York,"Trinity Place, New York, NY 10006, United States of America",-74.013342,40.70722
Rector Street,New York,10006,Greenwich Street,New York,"Greenwich Street, New York, NY 10006, United States of America",-74.01385,40.7073629
South End Avenue & Gateway Plaza,New York,10280,South End Avenue,New York,"South End Avenue, New York, NY 10280, United States of America",-74.0162606,40.7107105
6th Avenue & York Street,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-74.0050941,40.7211253
Madison St & Market St,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.994868,40.7123215
Broadway and Grand Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0010096,40.7205415
Broadway & Grand Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0010102,40.7205751
Water Street & Old Slip,New York,10004,Water Street,New York,"Water Street, New York, NY 10004, United States of America",-74.0085012,40.7043145
Canal Street,New York,10005,Canal Street,New York,"New York, NY 10005, United States of America",-74.0052989,40.7218493
51 Chrystie St,New York,10002,Chrystie Street,New York,"Chrystie Street, New York, NY 10002, United States of America",-73.9949517,40.7162023
East Broadway & Forsyth Street,New York,11201,Manhattan Bridge,New York,"Manhattan Bridge, New York, NY 11201, United States of America",-73.9940579,40.7136152
Madison Street & Market Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9939417,40.7122965
Brookfield Place / Battery Park City Ferry Terminal,New York,10285,Battery Park City Greenway,New York,"Battery Park City Greenway, New York, NY 10285, United States of America",-74.0177709,40.7150016
bus,New York,10002,Bowery,New York,"87 Bowery, New York, NY 10002, United States of America",-73.9950691,40.7168224
Water Street & Hanover Square,New York,10004,Water Street,New York,"Water Street, New York, NY 10004, United States of America",-74.0094172,40.7039222
IKEA Ferry,New York,10041,Pier 11,New York,"Pier 11, New York, NY 10041, United States of America",-74.0061757,40.7035094
Centre Street & Grand Street,New York,10013,Centre Street,New York,"Centre Street, New York, NY 10013, United States of America",-73.9982673,40.7200138
Bowery & Hester Street,New York,10012,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.995258,40.7174636
West Thames Street & South End Avenue,New York,10280,West Thames Street,New York,"West Thames Street, New York, NY 10280, United States of America",-74.0171071,40.7084505
West Thames Street & South End Avenue,New York,10280,West Thames Street,New York,"West Thames Street, New York, NY 10280, United States of America",-74.0170381,40.7081938
Battery Place & 3rd Place,New York,10280,Battery Place,New York,"Battery Place, New York, NY 10280, United States of America",-74.01682,40.7076684
6th Avenue & Thompson Street,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-74.0050971,40.7224815
Canal Street,New York,10005,Canal Street,New York,"New York, NY 10005, United States of America",-74.0062894,40.7225571
Bowery & Grand Street,New York,10012,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.9950902,40.7181304
Broadway & Broome Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0001096,40.7216454
Broadway & Battery Place,New York,10275,Broadway,New York,"Broadway, New York, NY 10275, United States of America",-74.0141139,40.7049011
Pike Street & Madison Street,New York,10002,Pike Street,New York,"Pike Street, New York, NY 10002, United States of America",-73.9926849,40.7127316
Battery Place & 3rd Place,New York,10280,Battery Place,New York,"Battery Place, New York, NY 10280, United States of America",-74.0173494,40.7073004
Greenwich Street at Battery Place,New York,10275,Battery Place,New York,"Battery Place, New York, NY 10275, United States of America",-74.0147827,40.7049524
Bowling Green,New York,10275,Battery Place,New York,"Battery Place, New York, NY 10275, United States of America",-74.0140946,40.7045091
