Hotel Name,address2,housenumber,street,city,postcode,Advertised Price,Total Price,longitude,latitude
Ink 48 Hotel,"653 11th Avenue, New York, NY 10036, United States of America",653,11th Avenue,New York,10036,305.63,399.95,-73.9958863,40.764515
LIC Hotel,"44-02 21st Street, New York, NY 11101, United States of America",44-02,21st Street,New York,11101,258.58,300.23,-73.94713685395294,40.74941095
LUMA Hotel Times Square,"120 West 41st Street, New York, NY 10036, United States of America",120,West 41st Street,New York,10036,414.61,478.68,-73.98577398984011,40.7544203
Lotte New York Palace,"455 Madison Avenue, New York, NY 10022, United States of America",455,Madison Avenue,New York,10022,596.44,623.64,-73.97476900451042,40.75798035
"Martinique New York on Broadway, Curio Collection by Hilton","49 West 32nd Street, New York, NY 10001, United States of America",49,West 32nd Street,New York,10001,313.16,408.75,-73.98777665021234,40.748471550000005
Midtown West Hotel,"303 West 30th Street, New York, NY 10001, United States of America",303,West 30th Street,New York,10001,208.69,258.16,-73.99564750547405,40.749954
Mondrian Park Avenue,"444 Park Avenue South, New York, NY 10016, United States of America",444,Park Avenue South,New York,10016,393.71,328.63,-73.9832361,40.7447966
New York Marriott Marquis,"1535 Broadway, New York, NY 10019, United States of America",1535,Broadway,New York,10019,472.86,555.8,-73.98619348708037,40.75859705
New York Marriott at the Brooklyn Bridge,"Adams Street, New York, NY 11201, United States of America",,Adams Street,New York,11201,402.22,490.06,-73.98798893679572,40.69384835
NoMo SoHo,"9 Crosby Street, New York, NY 10013, United States of America",9,Crosby Street,New York,10013,364.51,471.12,-73.99979875378094,40.7197524
Orchard Street Hotel,"163 Orchard Street, New York, NY 10002, United States of America",163,Orchard Street,New York,10002,227.12,278.84,-73.9889471,40.7211823
"PUBLIC, an Ian Schrager hotel","215 Chrystie Street, New York, NY 10002, United States of America",215,Chrystie Street,New York,10002,385.71,486.33,-73.9920127189456,40.723065250000005
Park Hyatt New York,"153 West 57th Street, New York, NY 10019, United States of America",153,West 57th Street,New York,10019,493.45,372.07,-73.9793143,40.7654216
Park Terrace Hotel,"16 West 40th Street, New York, NY 10018, United States of America",16,West 40th Street,New York,10018,345.29,399.71,-73.9829743,40.7524506
Pendry Manhattan West,"438 West 33rd Street, New York, NY 10001, United States of America",438,West 33rd Street,New York,10001,622.02,695.43,-73.99849386304956,40.7531577
Phoenix Hotel,"517 39th Street, New York, NY 11232, United States of America",517,39th Street,New York,11232,248.2,288.2,-74.00328389419096,40.6510799
Ramada by Wyndham Jersey City,"65 Tonnelle Avenue, Jersey City, NJ 07306, United States of America",65,Tonnelle Avenue,Jersey City,7306,160.51,186.76,-74.06753997193792,40.7329735
Renaissance New York Chelsea Hotel,"112 West 25th Street, New York, NY 10001, United States of America",112,West 25th Street,New York,10001,303.95,387.5,-73.99273754210674,40.74430885
Renaissance New York Times Square Hotel,"West 48th Street, New York, NY 10036, United States of America",,West 48th Street,New York,10036,405.0,482.06,-73.9845837,40.7597371
Rodeway Inn,"459 Tonnelle Avenue, Jersey City, NJ 07307, United States of America",459,Tonnelle Avenue,Jersey City,7307,115.24,131.83,-74.06221385015817,40.7466677
Royalton New York,"44 West 44th Street, New York, NY 10036, United States of America",44,West 44th Street,New York,10036,317.98,408.46,-73.98243189502742,40.75541175
Royalton Park Avenue,"420 Park Avenue South, New York, NY 10016, United States of America",420,Park Avenue South,New York,10016,380.39,485.84,-73.9838903,40.7438908
Sheraton New York Times Square Hotel,"7th Avenue, New York, NY 10019, United States of America",,7th Avenue,New York,10019,350.41,435.63,-73.98145115685841,40.7623787
Soho Grand Hotel,"310 West Broadway, New York, NY 10013, United States of America",310,West Broadway,New York,10013,486.88,597.09,-74.0043561,40.7220039
Sonesta Simply Suites Jersey City,"21 2nd Street, Jersey City, NJ 07302, United States of America",21,2nd Street,Jersey City,7302,273.27,318.88,-74.0344473660109,40.7209781
The Allen Hotel,"88 Allen Street, New York, NY 10002, United States of America",88,Allen Street,New York,10002,362.08,341.14,-73.99063775335429,40.7180418
The Baltic Hotel,"489 Baltic Street, New York, NY 11217, United States of America",489,Baltic Street,New York,11217,208.47,254.17,-73.98554976168478,40.68257855
"The Beekman, A Thompson Hotel","123 Nassau Street, New York, NY 10038, United States of America",123,Nassau Street,New York,10038,486.5,601.98,-74.0069365,40.7110329
The Benjamin Royal Sonesta New York,"125 East 50th Street, New York, NY 10022, United States of America",125,East 50th Street,New York,10022,351.47,453.39,-73.97203865062694,40.7565671
The Bowery Hotel,"335 Bowery, New York, NY 10003, United States of America",335,Bowery,New York,10003,634.57,731.73,-73.9914423397135,40.72603735
The Dominick,"Dominick Street, New York, NY 10005, United States of America",,Dominick Street,New York,10005,636.86,746.18,-74.00549625,40.72532055
The Fifty Sonesta Select New York,"155 East 50th Street, New York, NY 10022, United States of America",155,East 50th Street,New York,10022,320.61,418.16,-73.9708905,40.7561485
The Frederick Hotel,"Chambers Street, New York, NY 10007, United States of America",,Chambers Street,New York,10007,341.31,426.12,-74.008857,40.715575
The Holland Hotel,"175 12th Street, Jersey City, NJ 07310, United States of America",175,12th Street,Jersey City,7310,237.97,277.51,-74.0401902111784,40.7297102
The James New York - NoMad,"22 East 29th Street, New York, NY 10016, United States of America",22,East 29th Street,New York,10016,330.1,428.06,-73.9855322,40.7445115
The Knickerbocker Hotel,"6 Times Square, New York, NY 10036, United States of America",6,Times Square,New York,10036,455.57,577.41,-73.985979706842,40.7552496
The Lodge Red Hook,"17 Seabring Street, New York, NY 11231, United States of America",17,Seabring Street,New York,11231,231.8,269.34,-74.00596317981604,40.6799991
The Ludlow Hotel,"Ludlow Street, New York, NY 10002, United States of America",,Ludlow Street,New York,10002,401.0,463.7,-73.9871922,40.7219358
The Manhattan at Times Square Hotel,"West 51st Street, New York, NY 10019, United States of America",,West 51st Street,New York,10019,244.73,324.77,-73.9829659,40.7621727
The Marmara Park Avenue,"112 East 32nd Street, New York, NY 10016, United States of America",112,East 32nd Street,New York,10016,335.9,452.0,-73.98160340172737,40.7452995
The Peninsula New York,"5th Avenue, New York, NY 10035, United States of America",,5th Avenue,New York,10035,574.74,397.64,-73.9752856652103,40.76162605
The Redbury New York,"29 East 29th Street, New York, NY 10016, United States of America",29,East 29th Street,New York,10016,237.54,310.31,-73.98444780712413,40.74467835
The Shelburne Sonesta New York,"303 Lexington Avenue, New York, NY 10016, United States of America",303,Lexington Avenue,New York,10016,291.41,382.76,-73.9780254,40.7484239
The Tillary Hotel,"85 Flatbush Avenue Extension, New York, NY 11201, United States of America",85,Flatbush Avenue Extension,New York,11201,490.48,591.19,-73.98435197508277,40.6964684
The Vue Hotel Express,"39th Street, New York, NY 11232, United States of America",,39th Street,New York,11232,228.98,281.83,-74.00315192361242,40.65054785
The Wall Street Hotel,"88 Wall Street, New York, NY 10005, United States of America",88,Wall Street,New York,10005,618.43,713.16,-74.0075737,40.7054827
The Westin Jersey City Newport,"479 Washington Boulevard, Jersey City, NJ 07310, United States of America",479,Washington Boulevard,Jersey City,7310,347.0,404.79,-74.03620518567884,40.7250652
The Westin New York Grand Central,"212 East 42nd Street, New York, NY 10017, United States of America",212,East 42nd Street,New York,10017,376.0,374.68,-73.97398238536464,40.75017085
The William Vale,"111 North 12th Street, New York, NY 11249, United States of America",111,North 12th Street,New York,11249,640.83,596.08,-73.9569215,40.7224118
The Williamsburg Hotel,"96 Wythe Avenue, New York, NY 11249, United States of America",96,Wythe Avenue,New York,11249,361.5,463.29,-73.9587156,40.7215065
Union Hotel,"611 Degraw Street, New York, NY 11217, United States of America",611,Degraw Street,New York,11217,168.18,198.92,-73.98316032473508,40.6792344
Walker Hotel Tribeca,"77 Walker Street, New York, NY 10013, United States of America",77,Walker Street,New York,10013,406.75,504.69,-74.00214,40.718348
Washington Square Hotel,"103 Waverly Place, New York, NY 10011, United States of America",103,Waverly Place,New York,10011,320.72,371.89,-73.99873618677898,40.73249705
Wyndham Garden Chinatown,"93 Bowery, New York, NY 10002, United States of America",93,Bowery,New York,10002,283.3,328.58,-73.99516318110909,40.71704325
citizenM New York Bowery,"189 Bowery, New York, NY 10002, United States of America",189,Bowery,New York,10002,328.02,379.92,-73.99348398844182,40.72058935
