Hotel Name,Advertised Price,Total Price
"Comfy with Free Parking, 2 beds Near Airport, Park/Hospital!",159.00,306.00
"Comfy, Clean & Spacious w/2 TVs, parking, laundry ",198.00,401.00
Concorde Hotel New York,358.74,440.06
Condor Hotel,329.69,382.07
Conrad New York Downtown,507.17,587.30
Conrad New York Midtown,603.06,674.70
Corona Hotel,280.83,325.60
Courtyard Jersey City Newport,289.33,337.53
Courtyard Long Island City/New York Manhattan View,280.30,325.22
Courtyard New York Manhattan/ Midtown East,419.86,485.12
Courtyard New York Manhattan/Times Square West,350.96,406.27
Courtyard Westbury Long Island,284.07,316.68
Courtyard by Marriott Edgewater NYC Area,278.71,319.41
Courtyard by Marriott Lyndhurst Meadowlands,215.87,253.65
Courtyard by Marriott Montvale,221.32,253.50
Courtyard by Marriott New York City Manhattan Fifth Avenue,425.48,491.91
Courtyard by Marriott New York Downtown Manhattan/Financial District,244.11,283.57
Courtyard by Marriott New York JFK Airport,318.71,369.33
Courtyard by Marriott New York Manhattan / Central Park,425.64,491.84
Courtyard by Marriott New York Manhattan / Chelsea,302.68,350.94
Courtyard by Marriott New York Manhattan/Midtown West,372.20,430.68
Courtyard by Marriott New York Manhattan/SoHo,420.02,485.46
Courtyard by Marriott New York Manhattan/Times Square,365.76,423.10
Courtyard by Marriott New York Manhattan/Upper East Side,380.50,440.16
Courtyard by Marriott New York Queens/Fresh Meadows,251.12,291.64
Courtyard by Marriott New York World Trade Center Area,360.98,417.77
Courtyard by Marriott Newark Downtown,226.08,260.44
Courtyard by Marriott Newark Elizabeth,192.76,225.60
Courtyard by Marriott Newark Liberty International Airport,159.68,183.90
Courtyard by Marriott Paramus,162.15,185.88
Courtyard by Marriott Rye,290.32,331.89
Courtyard by Marriott Secaucus Meadowlands,218.17,256.46
Courtyard by Marriott Tarrytown Westchester County,286.86,328.14
Courtyard by Marriott Wayne Fairfield,189.45,217.33
Courtyard by Marriott West Orange,220.17,252.06
Courtyard by Marriott Yonkers Westchester County,200.51,230.31
Cozy 1st Floor / Basement Apartment 15 min from NYC!,85.00,171.00
Cozy 2 BR 3 beds with NYC views,353.00,552.00
"Cozy 3 BR for U Near Manhattan View, 15 Min to NYC",260.00,410.00
Cozy 3 bedroom basement apartment,135.00,233.20
Cozy Apartment Fantastic Location,164.33,305.67
Cozy Exotic Studio Retreat,120.00,188.90
Cozy Nights 2Bedroom,142.11,241.84
Cozy Single Family Home,160.00,326.25
Cozy Three bedroom 2 Bathroom Oasis condo,130.00,337.00
Cozy and Quiet,89.00,121.00
Cozy three Bedroom Apartment near New York/ EWR,421.00,675.00
Cozzy Get Away Priv. Apt/ St BarnabaS Hosp/NYC/EWR,104.00,136.00
Crown Inn Motel,110.55,126.79
"Crowne Plaza Englewood, an IHG Hotel",179.64,205.48
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",395.86,488.73
"Crowne Plaza JFK Airport New York City, an IHG Hotel",273.59,319.38
"Crowne Plaza Newark Airport, an IHG Hotel",174.08,199.80
"Crowne Plaza Saddle Brook, an IHG Hotel",206.23,236.56
"Crowne Plaza Times Square Manhattan, an IHG Hotel",268.13,362.67
Da Vinci Hotel,312.40,361.97
Days Hotel by Wyndham North Bergen /NYC Area,145.10,170.67
Days Inn by Wyndham Brooklyn Marine Park,185.35,219.85
Days Inn by Wyndham Elmsford / White Plains,138.59,161.68
Days Inn by Wyndham Iselin / Woodbridge,93.23,106.94
Days Inn by Wyndham Jersey City / NYC Area,137.39,160.44
Days Inn by Wyndham Nanuet / Spring Valley,107.71,119.98
Days Inn by Wyndham Ridgefield NJ,148.12,173.84
Days Inn by Wyndham Wayne,81.20,93.04
Delamar Greenwich Harbor,413.00,489.60
Delta Hotels by Marriott Woodbridge,191.03,219.28
Deluxe Double Queen,649.00,865.31
Deluxe Double Queen with Balcony,649.00,872.27
"Deluxe King, Beautiful Oversized Room",499.00,682.37
"Distrikt Hotel New York City, Tapestry Collection by Hilton",297.98,368.36
Double Bedroom apartment with private entrance,171.00,216.00
DoubleTree by Hilton Fairfield Hotel & Suites,172.94,198.14
DoubleTree by Hilton Fort Lee - George Washington Bridge,169.45,194.08
DoubleTree by Hilton Hotel & Suites Jersey City,258.71,301.62
DoubleTree by Hilton Hotel Nanuet,273.91,305.13
DoubleTree by Hilton Hotel New York City - Chelsea,293.08,339.76
DoubleTree by Hilton Hotel Newark Airport,220.20,253.60
DoubleTree by Hilton New York Downtown,295.86,342.92
DoubleTree by Hilton New York Midtown Fifth Ave,302.84,350.92
DoubleTree by Hilton New York Times Square West,303.33,351.73
DoubleTree by Hilton Newark Penn Station,207.59,238.94
Doubletree by Hilton New York Times Square South,269.13,312.41
Downtown Beauty min’s to Airport & Train★FREE Parking★Pool Table🎱NYC in 30 min,239.50,426.50
Doxie Hotel,313.03,362.93
Dream Downtown,354.76,460.47
Dream Midtown,336.78,422.46
DreamBox Vrbo! Where Dreams Become A Reality!,95.00,256.43
Dylan Hotel NYC,408.19,400.90
"EVEN Hotel Brooklyn, an IHG Hotel",265.44,324.84
EVEN Hotel New York - Times Square South,419.12,511.59
