Hotel Name,Advertised Price,Total Price
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $167,$191 total
Hilton Hasbrouck Heights/Meadowlands,The price is $167,$191 total
John Hotel,The price is $169,$209 total
Paris Suites Hotel,The price is $169,$197 total
Union Hotel,The price is $169,$200 total
Wyndham Garden Totowa,The price is $169,$194 total
Umbrella Hotel Brooklyn,The price is $169,$197 total
"Home2 Suites by Hilton Wayne, NJ",The price is $169,$194 total
"Holiday Inn Newark International Airport, an IHG Hotel",The price is $169,$195 total
"Brooklyn Vybe Hotel, Ascend Hotel Collection",The price is $170,$205 total
Canal Loft Hotel,The price is $170,$243 total
Residence Inn by Marriott Saddle River,The price is $170,$195 total
Hampton Inn & Suites Yonkers,The price is $170,$195 total
Ramada by Wyndham Jersey City,The price is $170,$198 total
The Brooklyn,The price is $170,$221 total
Wheeler Hotel,The price is $170,$199 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $170,$195 total
Home2 Suites by Hilton Hasbrouck Heights,The price is $170,$195 total
Extended Stay America Suites Secaucus New York City Area,The price is $171,$201 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $171,$196 total
Hyatt Place Fair Lawn Paramus,The price is $172,$197 total
"Holiday Inn Express Jamaica - JFK AirTrain - NYC, an IHG Hotel",The price is $172,$203 total
"Holiday Inn Clark - Newark Area, an IHG Hotel",The price is $173,$198 total
Homewood Suites by Hilton Edison Woodbridge,The price is $173,$199 total
Hampton Inn Nanuet,The price is $174,$194 total
Meadowlands Plaza Hotel,The price is $174,$205 total
Fairfield Inn & Suites New York Queens/Fresh Meadows,The price is $175,$204 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $175,$201 total
Peachtree Suites,The price is $176,$205 total
Wyndham Garden North Bergen Near Secaucus,The price is $176,$207 total
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,The price is $177,$209 total
Comfort Inn & Suites near Stadium,The price is $178,$207 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $178,$211 total
"Hilton Garden Inn Westchester Dobbs Ferry, NY",The price is $178,$203 total
Best Western Jamaica Inn,The price is $178,$208 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Residence Inn by Marriott Wayne,The price is $179,$205 total
Hilton Woodcliff Lake,The price is $179,$205 total
Hilton Garden Inn Springfield,The price is $179,$209 total
Sky Hotel Flushing/LaGuardia Airport,The price is $179,$217 total
7 Days Hotel Bronx,The price is $179,$209 total
"Home2 Suites by Hilton Rahway, NJ",The price is $179,$206 total
