Hotel Name,Advertised Price,Total Price
Best Western Brooklyn-Coney Island Inn,The price is $149,$175 total
Essence Express Wayne,The price is $149,$171 total
Haiban Inn,The price is $150,$175 total
Latisha house,The price is $150,$176 total
Latisha luxury place ,The price is $150,$276 total
Charming Brick Row House close to NYC,The price is $150,$208 total
Comfort Inn & Suites,The price is $150,$172 total
"Brooklyn Vybe Hotel, Ascend Hotel Collection",The price is $151,$184 total
Fairfield Inn & Suites Newark Liberty International Airport,The price is $152,$175 total
Casa Azul Hotel Blu JFK,The price is $152,$190 total
Umbrella Hotel Brooklyn,The price is $152,$178 total
This location will make ur EYES Light UP,The price is $152,$260 total
Rodeway Inn Capri,The price is $152,$179 total
Hilton Garden Inn Wayne,The price is $152,$174 total
Hampton Inn White Plains/Tarrytown,The price is $152,$179 total
Chelsea Inn,The price is $153,$247 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $153,$180 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $155,$182 total
Travelodge by Wyndham Manhasset,The price is $156,$174 total
Courtyard by Marriott Paramus,The price is $157,$180 total
Union Hotel,The price is $157,$186 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $158,$181 total
The Park Ave North,The price is $159,$186 total
Airway Inn at LaGuardia,The price is $159,$186 total
Meadowlands Plaza Hotel,The price is $159,$187 total
Asiatic Hotel by LaGuardia Airport,The price is $159,$186 total
Baymont by Wyndham White Plains - Elmsford,The price is $159,$182 total
Quality Inn JFK Airport Rockaway Blvd,The price is $159,$189 total
7 Days Hotel Bronx,The price is $159,$186 total
The Westfield Inn | An elegant boutique hotel at New Jersey,The price is $160,$200 total
Hilton Garden Inn Secaucus/Meadowlands,The price is $160,$188 total
Hudson Plaza Motel Bayonne / Jersey City,The price is $160,$179 total
Marriott Saddle Brook,The price is $161,$185 total
Fairfield Inn & Suites by Marriott Woodbridge,The price is $161,$185 total
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",The price is $161,$185 total
Residence Inn by Marriott Saddle River,The price is $161,$185 total
Courtyard by Marriott Wayne Fairfield,The price is $161,$185 total
Fairfield Inn & Suites by Marriott Paramus,The price is $161,$185 total
Extended Stay America Suites Meadowlands East Rutherford,The price is $161,$190 total
Extended Stay America Suites Secaucus Meadowlands,The price is $161,$190 total
Days Inn by Wyndham Ridgefield NJ,The price is $162,$190 total
Hilton Woodcliff Lake,The price is $164,$188 total
Fairfield Inn & Suites by Marriott New York Staten Island,The price is $164,$192 total
Hilton Hasbrouck Heights/Meadowlands,The price is $165,$189 total
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $167,$191 total
Wheeler Hotel,The price is $167,$195 total
"Holiday Inn Newark International Airport, an IHG Hotel",The price is $168,$194 total
The Brooklyn,The price is $168,$219 total
Paris Suites Hotel,The price is $169,$197 total
John Hotel,The price is $169,$209 total
Homewood Suites by Hilton Edison Woodbridge,The price is $169,$194 total
Home2 Suites by Hilton Newark Airport,The price is $169,$195 total
Townhouse Inn & Suites,The price is $170,$195 total
Days Hotel by Wyndham North Bergen /NYC Area,The price is $170,$200 total
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",The price is $170,$195 total
Ramada by Wyndham Jersey City,The price is $170,$198 total
Westminster Hotel,The price is $170,$195 total
Flushing Central Hotel,The price is $170,$199 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $170,$195 total
Hampton Inn Nanuet,The price is $174,$194 total
Luxuriously Comfortable Suite,The price is $175,$200 total
Wyndham Garden North Bergen Near Secaucus,The price is $176,$207 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $178,$211 total
Midtown West Hotel,The price is $179,$224 total
Clinton Inn Hotel & Event Center,The price is $179,$205 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Courtyard by Marriott Yonkers Westchester County,The price is $179,$206 total
Sleepy Hollow Hotel,The price is $179,$205 total
Fairfield Inn & Suites New York Manhattan/Downtown East,The price is $179,$209 total
Sky Hotel Flushing/LaGuardia Airport,The price is $179,$217 total
"Holiday Inn Express Woodbridge, an IHG Hotel",The price is $179,$205 total
Cabana Hotel Yankee Stadium,The price is $179,$209 total
"Staypineapple, An Artful Hotel, Midtown",The price is $180,$239 total
Royal Hotel Bronx,The price is $180,$210 total
Ramada by Wyndham Rockville Centre,The price is $183,$204 total
YMCA West Side,The price is $183,$183 total
Millennium Hilton New York One UN Plaza,The price is $184,$244 total
Element Spring Valley,The price is $184,$205 total
The Flat NYC,The price is $185,$215 total
"Candlewood Suites Secaucus - Meadowlands, an IHG Hotel",The price is $185,$217 total
Red Carpet Inn Elmwood Park,The price is $185,$212 total
"The L Hotel, Ascend Hotel Collection",The price is $185,$216 total
Rockaway Hotel Brooklyn,The price is $186,$217 total
Hampton Inn Newark Airport,The price is $187,$215 total
World Center Hotel,The price is $188,$219 total
"Club Quarters Hotel, World Trade Center",The price is $188,$219 total
Delta Hotels by Marriott Woodbridge,The price is $188,$216 total
Cambria Hotel West Orange,The price is $188,$216 total
The Vue Hotel Express,The price is $189,$233 total
Elmhurst Hotel,The price is $189,$220 total
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,The price is $189,$217 total
Best Western Fort Lee,The price is $189,$219 total
Hampton Inn & Suites Yonkers,The price is $190,$218 total
Best Western Queens Court Hotel,The price is $190,$222 total
Newark Hansbury Multi Level House,The price is $190,$219 total
The Floral Park Motor Lodge,The price is $190,$216 total
Hotel 32 32,The price is $191,$251 total
Hotel 365 Bronx,The price is $191,$223 total
Hampton Inn & Suites Fairfield,The price is $191,$219 total
Edge Hotel,The price is $193,$225 total
Fairfield Inn New York Manhattan/Financial District,The price is $195,$227 total
"The Westfield Inn, BW Signature Collection",The price is $195,$217 total
The Grand Summit Hotel,The price is $195,$224 total
Moxy NYC Downtown,The price is $195,$256 total
SpringHill Suites by Marriott Woodbridge,The price is $195,$224 total
Best Western Jamaica Inn,The price is $195,$228 total
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,The price is $197,$232 total
Royal Regency Hotel,The price is $198,$237 total
The Wilshire Grand Hotel,The price is $199,$228 total
Aloft Manhattan Downtown - Financial District,The price is $199,$232 total
"Crowne Plaza Saddle Brook, an IHG Hotel",The price is $199,$229 total
Ramada by Wyndham Bronx,The price is $200,$233 total
Chelsea Mews Guest House All Male,The price is $200,$233 total
Hotel Mimosa,The price is $200,$233 total
Hampton Inn & Suites Newark-Harrison-Riverwalk,The price is $202,$231 total
Comfort Inn Brooklyn,The price is $202,$236 total
Hilton Garden Inn Ridgefield Park,The price is $203,$233 total
The Local,The price is $204,$238 total
Hotel Key LaGuardia Airport,The price is $205,$239 total
Moderne Hotel,The price is $206,$263 total
"Holiday Inn Express New York City- Wall Street, an IHG Hotel",The price is $208,$261 total
The Gallivant Times Square,The price is $209,$261 total
Sheraton Tribeca New York Hotel,The price is $209,$243 total
Best Western Plus Fairfield Executive Inn,The price is $209,$240 total
Renaissance New York Harlem Hotel,The price is $210,$273 total
The Andrew Hotel,The price is $210,$235 total
Courtyard by Marriott New York Downtown Manhattan/Financial District,The price is $210,$245 total
Four Points by Sheraton Manhattan - Chelsea,The price is $210,$245 total
Hilton Garden Inn Nanuet,The price is $211,$235 total
Residence Inn by Marriott New York Downtown Manhattan/Financial District,The price is $212,$246 total
DoubleTree by Hilton Hotel New York City - Chelsea,The price is $212,$247 total
The Vue Inn Brooklyn,The price is $215,$250 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,The price is $215,$250 total
The Jane Hotel,The price is $216,$251 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $216,$248 total
"Hotel Indigo NYC Financial District, an IHG Hotel",The price is $218,$255 total
Moxy NYC East Village,The price is $218,$283 total
OYO Times Square,The price is $218,$297 total
YOTEL New York Times Square,The price is $218,$297 total
SoHo 54 Hotel,The price is $219,$289 total
Hyatt Centric Wall Street New York,The price is $220,$285 total
The Shelburne Sonesta New York,The price is $222,$303 total
Four Points By Sheraton New York Downtown,The price is $224,$261 total
"Club Quarters, Times Square - Midtown",The price is $224,$261 total
"Holiday Inn Express Manhattan Times Square South, an IHG Hotel",The price is $224,$261 total
Radio Hotel,The price is $225,$262 total
Sheridan Hotel,The price is $227,$264 total
Sanctuary Hotel New York,The price is $229,$292 total
New York Hilton Midtown,The price is $229,$300 total
Mondrian Park Avenue,The price is $229,$302 total
"Gild Hall, A Thompson Hotel",The price is $229,$321 total
DoubleTree by Hilton New York Downtown,The price is $231,$269 total
Courtyard by Marriott New York Manhattan/Midtown West,The price is $232,$270 total
Motto by Hilton New York City Chelsea,The price is $233,$305 total
Ameritania Hotel at Times Square,The price is $233,$294 total
Millennium Downtown New York,The price is $233,$306 total
Four Points by Sheraton Manhattan SoHo Village,The price is $233,$271 total
Courtyard New York Manhattan/Times Square West,The price is $233,$271 total
The Baltic Hotel,The price is $233,$282 total
HGU New York,The price is $234,$272 total
Selina Chelsea,The price is $236,$296 total
"Holiday Inn NYC - Lower East Side, an IHG Hotel",The price is $237,$277 total
Freehand New York,The price is $237,$310 total
The FIDI Hotel,The price is $237,$310 total
SpringHill Suites by Marriott New York Manhattan/Times Square South,The price is $237,$278 total
Fairfield Inn & Suites New York Manhattan/Times Square South,The price is $237,$276 total
"Distrikt Hotel New York City, Tapestry Collection by Hilton",The price is $238,$299 total
The Marlton Hotel,The price is $239,$277 total
NoMo SoHo,The price is $239,$327 total
Hilton Garden Inn New York/West 35th Street,The price is $239,$277 total
"The Cloud One New York-Downtown, by the Motel One Group",The price is $239,$278 total
The Evelyn Hotel,The price is $239,$309 total
Midtown Convention Center Hotel,The price is $240,$294 total
RIU Plaza Manhattan Times Square,The price is $240,$313 total
Paramount Times Square,The price is $241,$320 total
The James New York - NoMad,The price is $242,$327 total
The Manhattan at Times Square Hotel,The price is $244,$324 total
Fairfield Inn & Suites by Marriott New York ManhattanChelsea,The price is $246,$285 total
The Lex NYC,The price is $246,$319 total
The Solita Soho Hotel,The price is $246,$309 total
Embassy Suites by Hilton New York Manhattan Times Square,The price is $247,$317 total
Hotel Mulberry,The price is $249,$289 total
Casa Blanca Hotel Brooklyn,The price is $249,$289 total
The Maritime Hotel,The price is $249,$290 total
Da Vinci Hotel,The price is $250,$290 total
6 Columbus Central Park Hotel,The price is $250,$325 total
Four Points By Sheraton Manhattan Midtown West,The price is $250,$290 total
Renaissance New York Chelsea Hotel,The price is $251,$327 total
"Club Quarters Hotel, Grand Central",The price is $254,$295 total
Hotel Boutique at Grand Central,The price is $254,$295 total
"Martinique New York on Broadway, Curio Collection by Hilton",The price is $254,$341 total
Ink 48 Hotel,The price is $254,$341 total
Pestana CR7 Times Square,The price is $255,$321 total
Park Central Hotel New York,The price is $255,$340 total
Pestana Park Avenue,The price is $256,$320 total
Hudson River Hotel,The price is $256,$297 total
Hampton Inn New York Times Square,The price is $256,$297 total
