Hotel Name,Advertised Price,Total Price
Ardsley Acres Hotel Westchester,The price is $139,$159 total
The Allen Hotel,The price is $140,$192 total
3 West Club,The price is $140,$164 total
TownePlace Suites by Marriott New York Manhattan/Chelsea,The price is $140,$164 total
The Boro Hotel,The price is $142,$188 total
Extended Stay America Suites Secaucus Meadowlands,The price is $142,$168 total
Extended Stay America Suites Secaucus New York City Area,The price is $142,$168 total
The Floral Park Motor Lodge,The price is $143,$163 total
Moxy NYC Times Square,The price is $143,$202 total
Wyndham Garden Brooklyn Sunset Park,The price is $143,$178 total
TRYP by Wyndham New York City Times Square / Midtown,The price is $144,$191 total
Orchard Street Hotel,The price is $144,$183 total
Hilton Garden Inn New York/West 35th Street,The price is $144,$168 total
Comfort Suites Newark - Harrison,The price is $144,$165 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $144,$165 total
Comfort Inn Prospect Park - Brooklyn,The price is $144,$168 total
"Club Quarters Hotel, World Trade Center",The price is $144,$169 total
World Center Hotel,The price is $144,$169 total
"Club Quarters, Times Square - Midtown",The price is $144,$169 total
Feather Factory,The price is $144,$169 total
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",The price is $144,$165 total
Residence Inn by Marriott East Rutherford Meadowlands,The price is $144,$169 total
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",The price is $144,$165 total
Courtyard by Marriott Newark Liberty International Airport,The price is $144,$166 total
Best Western Jamaica Inn,The price is $144,$169 total
Millennium Hotel Broadway Times Square,The price is $145,$234 total
Best Western Queens Gold Coast,The price is $145,$170 total
Ramada by Wyndham Jersey City,The price is $146,$170 total
Royal Regency Hotel,The price is $147,$179 total
Millennium Hilton New York One UN Plaza,The price is $148,$203 total
Best Western Premier Empire State Hotel,The price is $148,$174 total
The Wall Street Inn,The price is $149,$174 total
Edge Hotel,The price is $149,$174 total
HGU New York,The price is $149,$174 total
Hotel Edison Times Square,The price is $149,$215 total
The Shoreham Hotel,The price is $149,$186 total
Sheraton Tribeca New York Hotel,The price is $149,$174 total
SpringHill Suites by Marriott New York Manhattan/Chelsea,The price is $149,$176 total
Sonesta Simply Suites Nanuet,The price is $149,$166 total
Aloft New York Brooklyn,The price is $149,$176 total
Hilton Garden Inn New York/Manhattan-Chelsea,The price is $150,$175 total
Quality Inn JFK Airport Rockaway Blvd,The price is $150,$179 total
YOTEL New York Times Square,The price is $151,$219 total
"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",The price is $151,$179 total
"Holiday Inn Express Brooklyn - Bushwick, an IHG Hotel",The price is $151,$196 total
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",The price is $152,$178 total
Fairfield Inn & Suites Newark Liberty International Airport,The price is $152,$175 total
Red Lion Inn & Suites Long Island City,The price is $152,$178 total
Marriott Saddle Brook,The price is $152,$174 total
Courtyard by Marriott Yonkers Westchester County,The price is $152,$175 total
Broadway Plaza Hotel,The price is $152,$189 total
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,The price is $152,$179 total
Casa Azul Hotel Blu JFK,The price is $152,$190 total
Fairfield Inn & Suites by Marriott North Bergen,The price is $152,$179 total
"The Westfield Inn, BW Signature Collection",The price is $152,$170 total
Hampton Inn Brooklyn/Downtown,The price is $152,$178 total
Fairfield Inn & Suites New York Manhattan/Times Square South,The price is $152,$178 total
Eurostars Wall Street,The price is $153,$179 total
Hilton Meadowlands,The price is $153,$180 total
La Quinta Inn & Suites by Wyndham New York City Central Park,The price is $153,$212 total
SpringHill Suites by Marriott Newark Liberty International,The price is $154,$177 total
Placemakr Wall Street,The price is $154,$282 total
"Distrikt Hotel New York City, Tapestry Collection by Hilton",The price is $154,$203 total
Aloft Manhattan Downtown - Financial District,The price is $156,$182 total
Travelodge by Wyndham Manhasset,The price is $156,$174 total
Hampton Inn Newark Airport,The price is $156,$180 total
Pestana CR7 Times Square,The price is $158,$210 total
DoubleTree by Hilton Hotel New York City - Chelsea,The price is $158,$185 total
Fitzpatrick Grand Central,The price is $158,$208 total
Courtyard by Marriott New York Manhattan / Chelsea,The price is $158,$185 total
Hyatt Herald Square New York,The price is $159,$208 total
Union Hotel,The price is $159,$188 total
"Hotel Indigo Lower East Side New York, an IHG Hotel",The price is $159,$224 total
"EVEN Midtown East Grand Central, an IHG Hotel",The price is $159,$213 total
Midtown West Hotel,The price is $159,$201 total
Heritage Hotel,The price is $159,$186 total
Lic Plaza Hotel,The price is $159,$186 total
"Holiday Inn Express New York City- Wall Street, an IHG Hotel",The price is $161,$207 total
"Holiday Inn New York City - Wall Street, an IHG Hotel",The price is $161,$207 total
"Holiday Inn Express Manhattan Times Square South, an IHG Hotel",The price is $161,$188 total
SpringHill Suites by Marriott New York Manhattan/Times Square South,The price is $161,$190 total
Hampton Inn Carlstadt-At The Meadowlands,The price is $161,$189 total
Artezen Hotel,The price is $161,$204 total
"Holiday Inn Express New York City Times Square, an IHG Hotel",The price is $161,$206 total
"Holiday Inn New York City - Times Square, an IHG Hotel",The price is $161,$190 total
Extended Stay America Suites Meadowlands East Rutherford,The price is $161,$190 total
YMCA West Side,The price is $162,$162 total
NU Hotel Brooklyn,The price is $163,$208 total
NU Hotel Brooklyn,The price is $163,$208 total
"Viana Hotel and Spa, Trademark Collection by Wyndham",The price is $164,$183 total
The Shelburne Sonesta New York,The price is $164,$237 total
Fairfield Inn & Suites by Marriott New York ManhattanChelsea,The price is $166,$194 total
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $167,$191 total
Wheeler Hotel,The price is $167,$195 total
"The L Hotel, Ascend Hotel Collection",The price is $167,$195 total
Wingate by Wyndham New York Midtown South/5th Ave,The price is $167,$195 total
Park Central Hotel New York,The price is $167,$239 total
Hilton New York Fashion District,The price is $167,$196 total
DoubleTree by Hilton Hotel Newark Airport,The price is $168,$194 total
The Hotel @ Fifth Avenue,The price is $169,$217 total
Element New York Times Square West,The price is $169,$197 total
Hotel Scherman,The price is $169,$225 total
SpringHill Suites by Marriott New York Midtown Manhattan,The price is $169,$197 total
Adria Hotel And Conference Center,The price is $169,$197 total
Best Western Plus Fairfield Executive Inn,The price is $169,$194 total
Airway Inn at LaGuardia,The price is $169,$197 total
Westgate New York Grand Central,The price is $169,$235 total
Home2 Suites by Hilton Newark Airport,The price is $169,$195 total
Midtown Convention Center Hotel,The price is $170,$214 total
Millennium Downtown New York,The price is $170,$234 total
Motto by Hilton New York City Chelsea,The price is $170,$233 total
Westminster Hotel,The price is $170,$195 total
The Brooklyn,The price is $170,$221 total
Fairfield Inn by Marriott JFK Airport,The price is $170,$199 total
Millennium Premier New York Times Square,The price is $171,$275 total
DoubleTree by Hilton Hotel & Suites Jersey City,The price is $172,$200 total
Hampton Inn Manhattan Grand Central,The price is $172,$201 total
The Fifty Sonesta Select New York,The price is $172,$248 total
