Hotel Name,Advertised Price,Total Price
SpringHill Suites by Marriott Newark Liberty International,The price is $171,$197 total
Hampton Inn Newark Airport,The price is $171,$197 total
Hampton Inn Carlstadt-At The Meadowlands,The price is $173,$203 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $173,$202 total
Hampton Inn Nanuet,The price is $174,$194 total
Courtyard by Marriott Newark Liberty International Airport,The price is $174,$200 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $174,$199 total
Sonesta Simply Suites Nanuet,The price is $175,$194 total
"Holiday Inn Express Woodbridge, an IHG Hotel",The price is $175,$200 total
Need a place to relax and enjoy your vacation stay at The Cozy Den,The price is $175,$302 total
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,The price is $177,$209 total
Hampton Inn & Suites Staten Island,The price is $178,$207 total
Residence Inn by Marriott East Rutherford Meadowlands,The price is $178,$209 total
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",The price is $178,$204 total
Hotel 365 Bronx,The price is $179,$208 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Fairfield Inn by Marriott East Rutherford Meadowlands,The price is $179,$211 total
Knights Inn Brooklyn Sunset Park,The price is $179,$213 total
Sky Hotel Flushing/LaGuardia Airport,The price is $179,$217 total
Fairfield Inn & Suites by Marriott Paramus,The price is $179,$205 total
7 Days Hotel Bronx,The price is $179,$209 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $180,$212 total
Royal Hotel Bronx,The price is $180,$210 total
Fairfield Inn & Suites by Marriott New York Staten Island,The price is $183,$213 total
Best Western Gregory Hotel,The price is $184,$215 total
Comfort Suites Newark - Harrison,The price is $185,$213 total
Red Carpet Inn Elmwood Park,The price is $185,$212 total
Residence Inn Woodbridge Edison/Raritan Center,The price is $185,$212 total
Extended Stay America Suites Secaucus Meadowlands,The price is $185,$218 total
Extended Stay America Suites New York City LaGuardia Airport,The price is $185,$216 total
Hotel Pergola JFK Airport,The price is $186,$217 total
Hilton Garden Inn Springfield,The price is $186,$217 total
Quality Inn near Sunset Park,The price is $186,$217 total
Homewood Suites by Hilton Edison Woodbridge,The price is $186,$214 total
DoubleTree by Hilton Hotel Newark Airport,The price is $187,$215 total
Hilton Woodcliff Lake,The price is $187,$215 total
Element Spring Valley,The price is $188,$209 total
Westminster Hotel,The price is $188,$216 total
Delta Hotels by Marriott Woodbridge,The price is $188,$216 total
The Park Ave North,The price is $189,$220 total
John Hotel,The price is $189,$233 total
Ramada by Wyndham Flushing Queens,The price is $189,$220 total
Paris Suites Hotel,The price is $189,$220 total
Elmhurst Hotel,The price is $189,$220 total
Flushing Central Hotel,The price is $189,$220 total
SpringHill Suites by Marriott Woodbridge,The price is $189,$217 total
Boutique Hotel in the Heart of Long Island's North Shore,The price is $189,$238 total
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,The price is $189,$217 total
Courtyard by Marriott Lyndhurst Meadowlands,The price is $189,$222 total
Best Western Fort Lee,The price is $189,$219 total
Ramada by Wyndham Bronx,The price is $190,$221 total
The Floral Park Motor Lodge,The price is $190,$216 total
Wyndham Garden North Bergen Near Secaucus,The price is $190,$224 total
Hilton Hasbrouck Heights/Meadowlands,The price is $190,$218 total
King Hotel Brooklyn Sunset Park,The price is $192,$229 total
YMCA West Side,The price is $194,$194 total
"The Westfield Inn, BW Signature Collection",The price is $195,$217 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $195,$231 total
The Grand Summit Hotel,The price is $195,$224 total
Courtyard by Marriott Newark Elizabeth,The price is $195,$228 total
Homewood Suites by Hilton Teaneck Glenpointe,The price is $196,$224 total
Residence Inn by Marriott Saddle River,The price is $197,$226 total
The Kenilworth,The price is $197,$226 total
Home2 Suites by Hilton Hasbrouck Heights,The price is $197,$226 total
Hilton Garden Inn Ridgefield Park,The price is $198,$227 total
Canal Loft Hotel,The price is $198,$280 total
The Wilshire Grand Hotel,The price is $199,$228 total
Courtyard by Marriott Paramus,The price is $199,$228 total
Cabana Hotel Yankee Stadium,The price is $199,$232 total
Hampton Inn Paramus,The price is $199,$229 total
Chelsea Mews Guest House All Male,The price is $200,$233 total
Comfort Inn & Suites LaGuardia Airport,The price is $202,$235 total
Ramada by Wyndham Rockville Centre,The price is $204,$228 total
Sheridan Hotel,The price is $204,$238 total
The Vue Hotel Express,The price is $205,$252 total
Comfort Inn Brooklyn,The price is $205,$239 total
"Hilton Garden Inn Westchester Dobbs Ferry, NY",The price is $205,$235 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $206,$241 total
Courtyard by Marriott Wayne Fairfield,The price is $206,$236 total
Hyatt Place Secaucus/Meadowlands,The price is $206,$242 total
Steinway Hotel,The price is $207,$241 total
Five Towns Inn - JFK Airport,The price is $209,$233 total
"Crowne Plaza Saddle Brook, an IHG Hotel",The price is $209,$240 total
Baymont by Wyndham White Plains - Elmsford,The price is $209,$239 total
Hotel Key LaGuardia Airport,The price is $209,$243 total
Renaissance Meadowlands Hotel,The price is $209,$246 total
Casa Blanca Hotel Brooklyn,The price is $209,$244 total
Best Western Plus Brooklyn Bay Hotel,The price is $210,$244 total
Hilton Garden Inn Nanuet,The price is $211,$235 total
Home2 Suites by Hilton Newark Airport,The price is $211,$243 total
Hilton Garden Inn New York / Staten Island,The price is $211,$245 total
Courtyard by Marriott Secaucus Meadowlands,The price is $211,$248 total
Harmony Suites,The price is $212,$249 total
Best Western Jamaica Inn,The price is $212,$247 total
Howard Johnson by Wyndham North Bergen,The price is $212,$250 total
"Holiday Inn Clark - Newark Area, an IHG Hotel",The price is $215,$246 total
Cambria Hotel West Orange,The price is $215,$247 total
Peachtree Suites,The price is $215,$251 total
The Leo House,The price is $216,$246 total
Aloft Secaucus Meadowlands,The price is $218,$256 total
Extended Stay America Suites Secaucus New York City Area,The price is $218,$257 total
Homewood Suites by Hilton Edgewater,The price is $219,$251 total
The Jane Hotel,The price is $219,$255 total
"Watt Hotel Rahway, Tapestry Collection by Hilton",The price is $219,$251 total
Comfort Inn JFK Airport,The price is $220,$256 total
Renaissance Newark Airport Hotel,The price is $220,$252 total
Courtyard by Marriott Yonkers Westchester County,The price is $224,$257 total
Element Harrison - Newark,The price is $224,$257 total
Fairfield Inn & Suites by Marriott North Bergen,The price is $224,$264 total
Hampton Inn & Suites Newark-Harrison-Riverwalk,The price is $224,$257 total
Rockaway Hotel Brooklyn,The price is $225,$262 total
Embassy Suites Newark Airport,The price is $228,$261 total
Hyatt Place Fort Lee / George Washington Bridge,The price is $228,$261 total
SpringHill Suites by Marriott East Rutherford Meadowlands/Carlstadt,The price is $228,$268 total
"Viana Hotel and Spa, Trademark Collection by Wyndham",The price is $229,$255 total
Comfort Inn Edgewater on Hudson River,The price is $229,$262 total
Residence Inn by Marriott Wayne,The price is $229,$262 total
Courtyard by Marriott Montvale,The price is $229,$262 total
Hyatt Place New York/Yonkers,The price is $229,$263 total
Residence Inn Secaucus Meadowlands,The price is $229,$269 total
Hampton Inn & Suites Yonkers - Westchester,The price is $229,$263 total
Liberty View Brooklyn hotel,The price is $230,$267 total
Orchard Street Hotel,The price is $230,$283 total
Residence Inn by Marriott Yonkers Westchester County,The price is $233,$268 total
The Baltic Hotel,The price is $233,$282 total
Hilton Garden Inn Secaucus/Meadowlands,The price is $234,$275 total
"Holiday Inn Express Brooklyn - Bushwick, an IHG Hotel",The price is $237,$294 total
Residence Inn Orangeburg,The price is $237,$263 total
Courtyard by Marriott West Orange,The price is $237,$271 total
"Holiday Inn Express & Suites Woodside Queens NYC, an IHG Hotel",The price is $237,$277 total
Comfort Inn & Suites,The price is $237,$271 total
The Parc Hotel,The price is $237,$276 total
Wyndham Garden LaGuardia South,The price is $237,$276 total
Hilton Short Hills,The price is $237,$272 total
Homewood Suites by Hilton East Rutherford - Meadowlands,The price is $239,$281 total
The Brooklyn,The price is $240,$301 total
"Holiday Inn Express & Suites Jersey City North - Hoboken, an IHG Hotel",The price is $240,$280 total
Fairfield Inn by Marriott LaGuardia Airport/Flushing,The price is $240,$279 total
Homewood Suites by Hilton Newark-Cranford,The price is $240,$276 total
Best Western Premier NYC Gateway Hotel,The price is $241,$285 total
Comfort Inn & Suites near Stadium,The price is $242,$281 total
Sheraton Tarrytown Hotel,The price is $242,$277 total
Courtyard by Marriott Newark Downtown,The price is $242,$279 total
"Candlewood Suites Secaucus - Meadowlands, an IHG Hotel",The price is $242,$285 total
The Flat NYC,The price is $242,$281 total
Hilton Meadowlands,The price is $244,$287 total
"Holiday Inn Express Jamaica - JFK AirTrain - NYC, an IHG Hotel",The price is $244,$285 total
The Vue Inn Brooklyn,The price is $244,$284 total
Hampton Inn & Suites Fairfield,The price is $244,$280 total
Royal Regency Hotel,The price is $245,$291 total
Feather Factory,The price is $248,$288 total
The Holland Hotel,The price is $249,$290 total
Lic Plaza Hotel,The price is $249,$289 total
Midtown Convention Center Hotel,The price is $250,$305 total
Mam Homes ,The price is $250,$392 total
"The L Hotel, Ascend Hotel Collection",The price is $251,$292 total
DoubleTree by Hilton Hotel Nanuet,The price is $251,$280 total
Comfort Inn Prospect Park - Brooklyn,The price is $254,$295 total
Red Lion Inn & Suites Long Island City,The price is $255,$296 total
Newark Liberty International Airport Marriott,The price is $257,$296 total
Jazz On The Park Hostel,The price is $259,$301 total
Marco LaGuardia Hotel,The price is $259,$301 total
"Hotel Nyack, a JdV by Hyatt Hotel",The price is $259,$347 total
Element New York Wood Ridge,The price is $260,$298 total
"Holiday Inn Express Maspeth, an IHG Hotel",The price is $265,$310 total
The Lodge Red Hook,The price is $265,$308 total
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",The price is $266,$310 total
3 West Club,The price is $268,$311 total
Four Points by Sheraton Flushing,The price is $269,$312 total
"Hotel Indigo Flushing, an IHG Hotel",The price is $269,$314 total
Best Western Queens Gold Coast,The price is $269,$313 total
Courtyard by Marriott New York Queens/Fresh Meadows,The price is $270,$313 total
The FIDI Hotel,The price is $271,$349 total
"Insignia Hotel, Ascend Hotel Collection",The price is $271,$315 total
Sonesta White Plains Downtown,The price is $272,$333 total
