tranportation,city,postcode,housenumber,street,state,address1,address2
Chambers Street & Greenwich Street,New York,10007,N/A,Chambers Street,New York,Chambers Street & Greenwich Street,"Chambers Street, New York, NY 10007, United States of America"
Pearl Street & Peck Slip,New York,10038,N/A,Pearl Street,New York,Pearl Street & Peck Slip,"Pearl Street, New York, NY 10038, United States of America"
Church Street & Liberty Street,New York,10006,N/A,Church Street,New York,Church Street & Liberty Street,"Church Street, New York, NY 10006, United States of America"
Church Street/Liberty Street,New York,10006,N/A,Church Street,New York,Church Street/Liberty Street,"Church Street, New York, NY 10006, United States of America"
World Trade Center,New York,10007,180,Greenwich Street,New York,World Trade Center,"180 Greenwich Street, New York, NY 10007, United States of America"
WTC Cortlandt,New York,10048,N/A,Greenwich Street,New York,WTC Cortlandt,"Greenwich Street, New York, NY 10048, United States of America"
Madison Street & Saint James Place,New York,10038,N/A,Madison Street,New York,Madison Street & Saint James Place,"Madison Street, New York, NY 10038, United States of America"
Pearl St & Fulton St,New York,10038,N/A,Pearl Street,New York,Pearl St & Fulton St,"Pearl Street, New York, NY 10038, United States of America"
Broadway & Franklin Street,New York,10003,N/A,Broadway,New York,Broadway & Franklin Street,"Broadway, New York, NY 10003, United States of America"
Pearl St & Fulton St,New York,10038,N/A,Pearl Street,New York,Pearl St & Fulton St,"Pearl Street, New York, NY 10038, United States of America"
Worth Street & Mott Street,New York,10007,N/A,Park Row,New York,Worth Street & Mott Street,"Park Row, New York, NY 10007, United States of America"
Chambers Street & Greenwich Street,New York,10282,N/A,Chambers Street,New York,Chambers Street & Greenwich Street,"Chambers Street, New York, NY 10282, United States of America"
Broadway & Thames Street,New York,10006,N/A,Thames Street,New York,Broadway & Thames Street,"Thames Street, New York, NY 10006, United States of America"
Broadway & White Street,New York,10003,N/A,Broadway,New York,Broadway & White Street,"Broadway, New York, NY 10003, United States of America"
Madison Street & Oliver Street,New York,10038,N/A,Madison Street,New York,Madison Street & Oliver Street,"Madison Street, New York, NY 10038, United States of America"
Broadway & Walker Street,New York,10003,N/A,Broadway,New York,Broadway & Walker Street,"Broadway, New York, NY 10003, United States of America"
Franklin Street,New York,10014,N/A,Varick Street,New York,Franklin Street,"Varick Street, New York, NY 10014, United States of America"
Wall Street,New York,10003,N/A,Broadway,New York,Wall Street,"Broadway, New York, NY 10003, United States of America"
East Broadway & Catherine Street,New York,10002,N/A,East Broadway,New York,East Broadway & Catherine Street,"East Broadway, New York, NY 10002, United States of America"
Trinity Place & Thames Street,New York,10006,N/A,Trinity Place,New York,Trinity Place & Thames Street,"Trinity Place, New York, NY 10006, United States of America"
