hotel,city,postcode,housenumber,street,state,address1,address2
Madison Les Hotel,New York,10002,154,Madison Street,New York,Madison Les Hotel,"154 Madison Street, New York, NY 10002, United States of America"
Hampton,New York,10004,32,Pearl Street,New York,Hampton,"32 Pearl Street, New York, NY 10004, United States of America"
Sohotel,New York,10013,341,Broome Street,New York,Sohotel,"341 Broome Street, New York, NY 10013, United States of America"
Hampton Inn Manhattan-SoHo,New York,10005,N/A,Watts Street,New York,Hampton Inn Manhattan-SoHo,"Watts Street, New York, NY 10005, United States of America"
49 Crosby,New York,10012,49,Crosby Street,New York,49 Crosby Street,"New York, NY 10012, United States of America"
Sixty SoHo,New York,10012,60,Thompson Street,New York,Sixty SoHo,"60 Thompson Street, New York, NY 10012, United States of America"
Nolitan hotel,New York,10012,30,Kenmare Street,New York,Nolitan hotel,"30 Kenmare Street, New York, NY 10012, United States of America"
Wagner Hotel,New York,10004,10,Little West Street,New York,Wagner Hotel,"10 Little West Street, New York, NY 10004, United States of America"
Arlo Soho,New York,10013,231,Hudson Street,New York,Arlo Soho,"231 Hudson Street, New York, NY 10013, United States of America"
citizenM New York Bowery,New York,10002,189,Bowery,New York,citizenM New York Bowery,"189 Bowery, New York, NY 10002, United States of America"
The Dominick,New York,10005,N/A,Varick Street,New York,The Dominick,"Varick Street, New York, NY 10005, United States of America"
The Allen Hotel,New York,10002,88,Allen Street,New York,The Allen Hotel,"88 Allen Street, New York, NY 10002, United States of America"
1 Hotel Brooklyn Bridge,New York,11201,N/A,Furman Street,New York,1 Hotel Brooklyn Bridge,"Furman Street, New York, NY 11201, United States of America"
The Bowery House,New York,10012,220,Bowery,New York,The Bowery House,"220 Bowery, New York, NY 10012, United States of America"
Mercer Hotel,New York,10012,147,Mercer Street,New York,Mercer Hotel,"147 Mercer Street, New York, NY 10012, United States of America"
N/A,New York,10013,525,Greenwich Street,New York,525 Greenwich Street,"New York, NY 10013, United States of America"
N/A,New York,10002,241,Bowery,New York,241 Bowery,"New York, NY 10002, United States of America"
Sago Hotel,New York,10002,120,Allen Street,New York,Sago Hotel,"120 Allen Street, New York, NY 10002, United States of America"
Four Points by Sheraton,New York,10014,66,Charlton Street,New York,Four Points by Sheraton,"66 Charlton Street, New York, NY 10014, United States of America"
"PUBLIC, an Ian Schrager hotel",New York,10002,215,Chrystie Street,New York,"PUBLIC, an Ian Schrager hotel","215 Chrystie Street, New York, NY 10002, United States of America"
Courtyard,New York,10014,181,Varick Street,New York,Courtyard,"181 Varick Street, New York, NY 10014, United States of America"
Orchard Street Hotel,New York,10002,163,Orchard Street,New York,Orchard Street Hotel,"163 Orchard Street, New York, NY 10002, United States of America"
The Redford Hotel,New York,10002,136,Ludlow Street,New York,The Redford Hotel,"136 Ludlow Street, New York, NY 10002, United States of America"
Holiday Inn,New York,10002,150,Delancey Street,New York,Holiday Inn,"150 Delancey Street, New York, NY 10002, United States of America"
The GEM Hotel Soho,New York,10002,135,East Houston Street,New York,The GEM Hotel Soho,"135 East Houston Street, New York, NY 10002, United States of America"
The Ludlow Hotel,New York,10002,N/A,Ludlow Street,New York,The Ludlow Hotel,"Ludlow Street, New York, NY 10002, United States of America"
The Bowery Hotel,New York,10003,335,Bowery,New York,The Bowery Hotel,"335 Bowery, New York, NY 10003, United States of America"
"The Standard, East Village",New York,10003,25,Cooper Square,New York,"The Standard, East Village","25 Cooper Square, New York, NY 10003, United States of America"
Hyatt Regency Jersey City on the Hudson,Jersey City,07032,2,Exchange Place,New Jersey,Hyatt Regency Jersey City on the Hudson,"2 Exchange Place, Jersey City, NJ 07032, United States of America"
Washington Square Hotel,New York,10011,103,Waverly Place,New York,Washington Square Hotel,"103 Waverly Place, New York, NY 10011, United States of America"
St. Mark's Hotel,New York,10003,2,Saint Mark's Place,New York,St. Mark's Hotel,"2 Saint Mark's Place, New York, NY 10003, United States of America"
Hyatt House New Jersey,Jersey City,07302,1,Exchange Place,New Jersey,Hyatt House New Jersey,"1 Exchange Place, Jersey City, NJ 07302, United States of America"
East Village Hotel,New York,10003,147,1st Avenue,New York,East Village Hotel,"147 1st Avenue, New York, NY 10003, United States of America"
Sonesta Simply Suites Jersey City,Jersey City,07302,21,2nd Street,New Jersey,Sonesta Simply Suites Jersey City,"21 2nd Street, Jersey City, NJ 07302, United States of America"
The Tillary Hotel,New York,11201,85,Flatbush Avenue Extension,New York,The Tillary Hotel,"85 Flatbush Avenue Extension, New York, NY 11201, United States of America"
New York Marriott at the Brooklyn Bridge,New York,11201,N/A,Pearl Street,New York,New York Marriott at the Brooklyn Bridge,"Pearl Street, New York, NY 11201, United States of America"
Hyatt Union Square New York,New York,10003,134,4th Avenue,New York,Hyatt Union Square New York,"134 4th Avenue, New York, NY 10003, United States of America"
Hampton,New York,11201,N/A,Flatbush Avenue Extension,New York,Hampton,"Flatbush Avenue Extension, New York, NY 11201, United States of America"
Walker Hotel,New York,10011,52,West 13th Street,New York,Walker Hotel,"52 West 13th Street, New York, NY 10011, United States of America"
Union Square Inn,New York,10003,209,East 14th Street,New York,Union Square Inn,"209 East 14th Street, New York, NY 10003, United States of America"
The Jane,New York,10014,113,Jane Street,New York,The Jane,"113 Jane Street, New York, NY 10014, United States of America"
DoubleTree,Jersey City,07311,N/A,Washington Boulevard,New Jersey,DoubleTree,"Washington Boulevard, Jersey City, NJ 07311, United States of America"
Courtyard Jersey City Newport,Jersey City,07310,540,Washington Boulevard,New Jersey,Courtyard Jersey City Newport,"540 Washington Boulevard, Jersey City, NJ 07310, United States of America"
The Westin Jersey City Newport,Jersey City,07310,479,Washington Boulevard,New Jersey,The Westin Jersey City Newport,"479 Washington Boulevard, Jersey City, NJ 07310, United States of America"
Aloft - W Hotel,New York,11201,216,Duffield Street,New York,Aloft - W Hotel,"216 Duffield Street, New York, NY 11201, United States of America"
Sheraton Brooklyn,New York,11201,228,Duffield Street,New York,Sheraton Brooklyn,"228 Duffield Street, New York, NY 11201, United States of America"
Hotel Gansevoort,New York,10014,18,9th Avenue,New York,Hotel Gansevoort,"18 9th Avenue, New York, NY 10014, United States of America"
Canopy by Hilton,Jersey City,07302,N/A,Morgan Street,New Jersey,Canopy by Hilton,"Morgan Street, Jersey City, NJ 07302, United States of America"
Hilton,New York,11201,140,Schermerhorn Street,New York,Hilton,"140 Schermerhorn Street, New York, NY 11201, United States of America"
Residence Inn Jersey City,Jersey City,07302,80,Christopher Columbus Drive,New Jersey,Residence Inn Jersey City,"80 Christopher Columbus Drive, Jersey City, NJ 07302, United States of America"
W Hotels,New York,10003,201,Park Avenue South,New York,W Hotels,"201 Park Avenue South, New York, NY 10003, United States of America"
Hotel Indigo,New York,11201,229,Duffield Street,New York,Hotel Indigo,"229 Duffield Street, New York, NY 11201, United States of America"
Chelsa Inn Hotel,New York,10011,46,West 17th Street,New York,Chelsa Inn Hotel,"46 West 17th Street, New York, NY 10011, United States of America"
Nu Hotel,New York,11201,85,Smith Street,New York,Nu Hotel,"85 Smith Street, New York, NY 11201, United States of America"
The Inn at Irving Place,New York,10003,56,Irving Place,New York,The Inn at Irving Place,"56 Irving Place, New York, NY 10003, United States of America"
Hotel 17,New York,10003,225,East 17th Street,New York,Hotel 17,"225 East 17th Street, New York, NY 10003, United States of America"
Hotel 309,New York,10011,309,14th Street (PATH) underground passage,New York,Hotel 309,"309 14th Street (PATH) underground passage, New York, NY 10011, United States of America"
Chelsea Pines Inn,New York,10011,317,14th Street (PATH) underground passage,New York,Chelsea Pines Inn,"317 14th Street (PATH) underground passage, New York, NY 10011, United States of America"
Soho House New York,New York,10014,N/A,West 13th Street,New York,Soho House New York,"West 13th Street, New York, NY 10014, United States of America"
The Standard,New York,10014,848,Washington Street,New York,The Standard,"848 Washington Street, New York, NY 10014, United States of America"
Liberty Inn,New York,10014,51,10th Avenue,New York,Liberty Inn,"51 10th Avenue, New York, NY 10014, United States of America"
Dream Downtown,New York,10011,355,West 16th Street,New York,Dream Downtown,"355 West 16th Street, New York, NY 10011, United States of America"
Casa Blanca Hotel,New York,11205,143,Park Avenue,New York,Casa Blanca Hotel,"143 Park Avenue, New York, NY 11205, United States of America"
Maritime Hotel,New York,10011,363,West 16th Street,New York,Maritime Hotel,"363 West 16th Street, New York, NY 10011, United States of America"
Gramercy Park Hotel,New York,10010,2,Lexington Avenue,New York,Gramercy Park Hotel,"2 Lexington Avenue, New York, NY 10010, United States of America"
Ace Hotel,New York,11217,252,Schermerhorn Street,New York,Ace Hotel,"252 Schermerhorn Street, New York, NY 11217, United States of America"
Ewards Hotel,Hoboken,07030,N/A,Hudson Street,New Jersey,Ewards Hotel,"Hudson Street, Hoboken, NJ 07030, United States of America"
Holiday Inn Brooklyn Downtown,New York,11217,300,Schermerhorn Street,New York,Holiday Inn Brooklyn Downtown,"300 Schermerhorn Street, New York, NY 11217, United States of America"
Brooklyn Motor Inn,New York,11231,140,Hamilton Avenue,New York,Brooklyn Motor Inn,"140 Hamilton Avenue, New York, NY 11231, United States of America"
The Holland Hotel,Jersey City,07310,175,12th Street,New Jersey,The Holland Hotel,"175 12th Street, Jersey City, NJ 07310, United States of America"
W Hotel,Hoboken,07030,N/A,River Street,New Jersey,W Hotel,"River Street, Hoboken, NJ 07030, United States of America"
Chelsea international hostel,New York,10011,251,West 20th Street,New York,Chelsea international hostel,"251 West 20th Street, New York, NY 10011, United States of America"
"EVEN Hotel Brooklyn, an IHG Hotel",New York,11217,46,Nevins Street,New York,"EVEN Hotel Brooklyn, an IHG Hotel","46 Nevins Street, New York, NY 11217, United States of America"
N/A,Jersey City,07302,N/A,3rd Street,New Jersey,3rd Street,"Jersey City, NJ 07302, United States of America"
New York EDITION,New York,10010,1,Madison Avenue,New York,New York EDITION,"1 Madison Avenue, New York, NY 10010, United States of America"
American Dream Bed & Breakfast,New York,10010,168,East 24th Street,New York,American Dream Bed & Breakfast,"168 East 24th Street, New York, NY 10010, United States of America"
SpringHill Suites,New York,10010,111,East 24th Street,New York,SpringHill Suites,"111 East 24th Street, New York, NY 10010, United States of America"
The Townhouse Inn of Chelsea,New York,10011,131,West 23rd Street,New York,The Townhouse Inn of Chelsea,"131 West 23rd Street, New York, NY 10011, United States of America"
Chelsea Savoy Hotel,New York,10011,204,West 23rd Street,New York,Chelsea Savoy Hotel,"204 West 23rd Street, New York, NY 10011, United States of America"
The Marcel,New York,10010,201,East 24th Street,New York,The Marcel,"201 East 24th Street, New York, NY 10010, United States of America"
The GEM Hotel Chelsea,New York,10011,300,West 22nd Street,New York,The GEM Hotel Chelsea,"300 West 22nd Street, New York, NY 10011, United States of America"
Holiday Inn Express & Suites,Jersey City,07310,N/A,15th Street,New Jersey,Holiday Inn Express & Suites,"15th Street, Jersey City, NJ 07310, United States of America"
Hampton,New York,10011,108,West 24th Street,New York,Hampton,"108 West 24th Street, New York, NY 10011, United States of America"
Hotel Chelsea,New York,10011,222,West 23rd Street,New York,Hotel Chelsea,"222 West 23rd Street, New York, NY 10011, United States of America"
Colonial House,New York,10011,318,West 22nd Street,New York,Colonial House,"318 West 22nd Street, New York, NY 10011, United States of America"
Wyndham Garden Manhattan Chelsea West,New York,10010,37,West 24th Street,New York,Wyndham Garden Manhattan Chelsea West,"37 West 24th Street, New York, NY 10010, United States of America"
The Lodge Red Hook,New York,11231,17,Seabring Street,New York,The Lodge Red Hook,"17 Seabring Street, New York, NY 11231, United States of America"
Carlton Arms Hotel,New York,10010,160,East 25th Street,New York,Carlton Arms Hotel,"160 East 25th Street, New York, NY 10010, United States of America"
Heritage Hotel,New York,10001,18,West 25th Street,New York,Heritage Hotel,"18 West 25th Street, New York, NY 10001, United States of America"
Lex Hotel NYC,New York,10010,67,Lexington Avenue,New York,Lex Hotel NYC,"67 Lexington Avenue, New York, NY 10010, United States of America"
Leo house,New York,10011,332,West 23rd Street,New York,Leo house,"332 West 23rd Street, New York, NY 10011, United States of America"
Four Points by Sheraton Manhattan Chelsea,New York,10001,N/A,West 25th Street,New York,Four Points by Sheraton Manhattan Chelsea,"West 25th Street, New York, NY 10001, United States of America"
Hotel Giraffe,New York,10016,365,Park Avenue South,New York,Hotel Giraffe,"365 Park Avenue South, New York, NY 10016, United States of America"
Flatiron Hotel,New York,10010,9,West 26th Street,New York,Flatiron Hotel,"9 West 26th Street, New York, NY 10010, United States of America"
The Baltic Hotel,New York,11217,489,Baltic Street,New York,The Baltic Hotel,"489 Baltic Street, New York, NY 11217, United States of America"
Zephyr Lofts,Hoboken,07030,689,Marin Boulevard,New Jersey,Zephyr Lofts,"689 Marin Boulevard, Hoboken, NJ 07030, United States of America"
Hilton New York Fashion District,New York,10001,150,West 26th Street,New York,Hilton New York Fashion District,"150 West 26th Street, New York, NY 10001, United States of America"
Broadway Plaza Hotel,New York,10001,1155,Broadway,New York,Broadway Plaza Hotel,"1155 Broadway, New York, NY 10001, United States of America"
The Evelyn,New York,10016,7,East 27th Street,New York,The Evelyn,"7 East 27th Street, New York, NY 10016, United States of America"
Senton Hotel,New York,10001,39,West 27th,New York,Senton Hotel,"39 West 27th, New York, NY 10001, United States of America"
The Nomad,New York,10001,1170,Broadway,New York,The Nomad,"1170 Broadway, New York, NY 10001, United States of America"
Parksouth Hotel,New York,10016,124,East 28th Street,New York,Parksouth Hotel,"124 East 28th Street, New York, NY 10016, United States of America"
Latham,New York,10016,4,East 28th Street,New York,Latham,"4 East 28th Street, New York, NY 10016, United States of America"
Fairfield Inn,New York,10001,116,West 28th Street,New York,Fairfield Inn,"116 West 28th Street, New York, NY 10001, United States of America"
The Ritz-Carlton,New York,10001,25,West 28th Street,New York,The Ritz-Carlton,"25 West 28th Street, New York, NY 10001, United States of America"
The James New York - NoMad,New York,10016,22,East 29th Street,New York,The James New York - NoMad,"22 East 29th Street, New York, NY 10016, United States of America"
Royalton Park Avenue,New York,10016,420,Park Avenue South,New York,Royalton Park Avenue,"420 Park Avenue South, New York, NY 10016, United States of America"
N/A,Jersey City,07302,473,Monmouth Street,New Jersey,473 Monmouth Street,"Jersey City, NJ 07302, United States of America"
Hyatt House,New York,10001,815,6th Avenue,New York,Hyatt House,"815 6th Avenue, New York, NY 10001, United States of America"
Hilton Garden Inn,New York,10001,121,West 28th Street,New York,Hilton Garden Inn,"121 West 28th Street, New York, NY 10001, United States of America"
Cambria Hotel & Suites,New York,10001,123,West 28th Street,New York,Cambria Hotel & Suites,"123 West 28th Street, New York, NY 10001, United States of America"
Hotel Indigo,New York,10001,127,West 28th Street,New York,Hotel Indigo,"127 West 28th Street, New York, NY 10001, United States of America"
Ace Hotel,New York,10001,10001,West 29th Street,New York,Ace Hotel,"10001 West 29th Street, New York, NY 10001, United States of America"
The Redbury New York,New York,10016,29,East 29th Street,New York,The Redbury New York,"29 East 29th Street, New York, NY 10016, United States of America"
The Pod,New York,11211,247,Metropolitan Avenue,New York,The Pod,"247 Metropolitan Avenue, New York, NY 11211, United States of America"
Hotel Hayden,New York,10001,137,West 28th Street,New York,Hotel Hayden,"137 West 28th Street, New York, NY 10001, United States of America"
The Paul,New York,10001,32,West 29th Street,New York,The Paul,"32 West 29th Street, New York, NY 10001, United States of America"
Clarion Hotel Park Avenue,New York,10016,429,Park Avenue South,New York,Clarion Hotel Park Avenue,"429 Park Avenue South, New York, NY 10016, United States of America"
DoubleTree,New York,10001,128,West 29th Street,New York,DoubleTree,"128 West 29th Street, New York, NY 10001, United States of America"
Best Western Premier,New York,10016,16,East 30th Street,New York,Best Western Premier,"16 East 30th Street, New York, NY 10016, United States of America"
Eventi,New York,10001,835,6th Avenue,New York,Eventi,"835 6th Avenue, New York, NY 10001, United States of America"
The Hotel @ New York City,New York,10016,161,Lexington Avenue,New York,The Hotel @ New York City,"161 Lexington Avenue, New York, NY 10016, United States of America"
Fairfield Inn,New York,11217,N/A,Butler Street,New York,Fairfield Inn,"Butler Street, New York, NY 11217, United States of America"
N/A,New York,11211,N/A,South 2nd Street,New York,South 2nd Street,"New York, NY 11211, United States of America"
Mondrian Park Avenue,New York,10016,444,Park Avenue South,New York,Mondrian Park Avenue,"444 Park Avenue South, New York, NY 10016, United States of America"
Holiday Inn Express New York City – Chelsea,New York,10001,232,West 29th Street,New York,Holiday Inn Express New York City – Chelsea,"232 West 29th Street, New York, NY 10001, United States of America"
Hotel Chandler,New York,10016,12,East 31st Street,New York,Hotel Chandler,"12 East 31st Street, New York, NY 10016, United States of America"
hotel aka.,New York,10037,131,Madison Avenue,New York,hotel aka.,"131 Madison Avenue, New York, NY 10037, United States of America"
N/A,New York,10037,161,Lexington Avenue,New York,161 Lexington Avenue,"New York, NY 10037, United States of America"
Hotel Wolcott,New York,10001,4,West 31st Street,New York,Hotel Wolcott,"4 West 31st Street, New York, NY 10001, United States of America"
Hyatt Herald Square New York,New York,10001,30,West 31st Street,New York,Hyatt Herald Square New York,"30 West 31st Street, New York, NY 10001, United States of America"
Hoxton,New York,11211,N/A,Wythe Avenue,New York,Hoxton,"Wythe Avenue, New York, NY 11211, United States of America"
Hotel 31,New York,10016,120,East 31st Street,New York,Hotel 31,"120 East 31st Street, New York, NY 10016, United States of America"
The Williamsburg Hotel,New York,11249,96,Wythe Avenue,New York,The Williamsburg Hotel,"96 Wythe Avenue, New York, NY 11249, United States of America"
Courtyard Marriot,New York,10001,135,West 30th Street,New York,Courtyard Marriot,"135 West 30th Street, New York, NY 10001, United States of America"
Arlo NoMad,New York,10016,11,East 31st Street,New York,Arlo NoMad,"11 East 31st Street, New York, NY 10016, United States of America"
Hampton,New York,10001,116,West 31st Street,New York,Hampton,"116 West 31st Street, New York, NY 10001, United States of America"
Life Hotel,New York,10001,19,West 31st Street,New York,Life Hotel,"19 West 31st Street, New York, NY 10001, United States of America"
The Marmara Park Avenue,New York,10016,112,East 32nd Street,New York,The Marmara Park Avenue,"112 East 32nd Street, New York, NY 10016, United States of America"
Hotel 32 32,New York,10016,32,East 32nd Street,New York,Hotel 32 32,"32 East 32nd Street, New York, NY 10016, United States of America"
HGU,New York,10016,34,East 32nd Street,New York,HGU,"34 East 32nd Street, New York, NY 10016, United States of America"
Stewart Hotel,New York,10001,371,7th Avenue,New York,Stewart Hotel,"371 7th Avenue, New York, NY 10001, United States of America"
nyma,New York,10001,6,West 32nd Street,New York,nyma,"6 West 32nd Street, New York, NY 10001, United States of America"
The Marmara,New York,10016,112,East 32nd Street,New York,The Marmara,"112 East 32nd Street, New York, NY 10016, United States of America"
Avalon Hotel,New York,10016,16,East 32nd Street,New York,Avalon Hotel,"16 East 32nd Street, New York, NY 10016, United States of America"
Selina Chelsea New York City,New York,10001,518,West 27th Street,New York,Selina Chelsea New York City,"518 West 27th Street, New York, NY 10001, United States of America"
Wythe Hotel,New York,11249,80,Wythe Avenue,New York,Wythe Hotel,"80 Wythe Avenue, New York, NY 11249, United States of America"
Union Hotel,New York,11217,611,Degraw Street,New York,Union Hotel,"611 Degraw Street, New York, NY 11217, United States of America"
The Hotel @ 5th Avenue,New York,10001,17,West 32nd Street,New York,The Hotel @ 5th Avenue,"17 West 32nd Street, New York, NY 10001, United States of America"
Midtown West Hotel,New York,10001,303,West 30th Street,New York,Midtown West Hotel,"303 West 30th Street, New York, NY 10001, United States of America"
Hotel Stanford,New York,10001,43,West 32nd Street,New York,Hotel Stanford,"43 West 32nd Street, New York, NY 10001, United States of America"
"Martinique New York on Broadway, Curio Collection by Hilton",New York,10001,49,West 32nd Street,New York,"Martinique New York on Broadway, Curio Collection by Hilton","49 West 32nd Street, New York, NY 10001, United States of America"
Holiday Inn Express Brooklyn,New York,11215,625,Union Street,New York,Holiday Inn Express Brooklyn,"625 Union Street, New York, NY 11215, United States of America"
Hotel Pennsylvania,New York,10001,401,7th Avenue,New York,Hotel Pennsylvania,"401 7th Avenue, New York, NY 10001, United States of America"
Hilton Garden Inn Midtown Park Avenue,New York,10016,49,East 33rd Street,New York,Hilton Garden Inn Midtown Park Avenue,"49 East 33rd Street, New York, NY 10016, United States of America"
The William Vale,New York,11249,111,North 12th Street,New York,The William Vale,"111 North 12th Street, New York, NY 11249, United States of America"
Murray Hill Marquis,New York,10016,150,East 34th Street,New York,Murray Hill Marquis,"150 East 34th Street, New York, NY 10016, United States of America"
Towneplace Suites,New York,11215,561,President Street,New York,Towneplace Suites,"561 President Street, New York, NY 11215, United States of America"
