Hotel Name,Distance from NYC
Hilton Short Hills,18.95
Home2 Suites by Hilton Newark Airport,8.69
Clinton Inn Hotel & Event Center,14.63
The Jane Hotel,0
Marriott Saddle Brook,14.17
Phoenix Hotel,4.27
"Luxury 1 Bdrm (King)- mins to NYC, Airport, & Prudential Center/ Downtown Newark",0
❤️Close to NYC🗽Free Parking🚗 Ground Level Studio,19.28
Jazz On The Park Hostel,0
Sky Hotel Flushing/LaGuardia Airport,9.61
"Crowne Plaza Newark Airport, an IHG Hotel",10.13
Hampton Inn Nanuet,26.84
SpringHill Suites by Marriott Newark Liberty International,8.59
Rodeway Inn Jersey City near Hoboken,3.77
Days Hotel by Wyndham North Bergen /NYC Area,4.55
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",9.16
Royal Hotel Bronx,13.79
Hyatt Place Fair Lawn Paramus,15.43
Hilton Hasbrouck Heights/Meadowlands,11.4
Courtyard by Marriott Secaucus Meadowlands,5.63
Wyndham Garden North Bergen Near Secaucus,4.22
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",25.18
Red Carpet Inn Elmwood Park,13.75
The Kenilworth,14.56
Courtyard by Marriott Newark Elizabeth,9.66
DoubleTree by Hilton Newark Penn Station,8.49
Embassy Suites Newark Airport,9.58
Courtyard by Marriott Montvale,23.84
Cabana Hotel Yankee Stadium,9.75
Asiatic Hotel by LaGuardia Airport,9.69
🔰Luxury 1BR Apt• Kng Bed• Rooftop DwnTwn Newark 5🌟,8.74
Fairfield Inn & Suites Newark Liberty International Airport,8.79
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,9.6
Americana Inn,0
Courtyard by Marriott Newark Downtown,8.88
Fairfield Inn by Marriott East Rutherford Meadowlands,8.98
Elmhurst Hotel,6.79
❇️ROOFTOP TERRACE❇️ Luxury 1BR Downtown Newark - 20 Mins to NYC,8.74
🌟RooftopTerrace🌟 Downtown Luxury 1BR-5 min walk 2 Prudential,8.74
Modern and Stylish Downtown Newark,8.72
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,10.4
"Crowne Plaza Saddle Brook, an IHG Hotel",14.11
"Holiday Inn Express Jamaica - JFK AirTrain - NYC, an IHG Hotel",10.56
Home2 Suites by Hilton Hasbrouck Heights,10.81
Hampton Inn & Suites Fairfield,19.11
The Local,3.98
Ramada by Wyndham Rockville Centre,20.39
Hilton Garden Inn Springfield,17.14
Hampton Inn & Suites Newark-Harrison-Riverwalk,8.63
Hotel Key LaGuardia Airport,9.81
SpringHill Suites by Marriott East Rutherford Meadowlands/Carlstadt,8.45
YMCA West Side,0
Quality Suites NYC Gateway,4.16
Hilton Woodcliff Lake,23.13
Renaissance Newark Airport Hotel,10.08
Delta Hotels by Marriott Woodbridge,19.28
The Grand Summit Hotel,18.91
Cheerful 3BR residential home with free parking,10.09
The Baltic Hotel,2.35
Hotel Opus Bronx,14.31
Hampton Inn & Suites Staten Island,11.38
"Vista LIC Hotel, BW Premier Collection",4.66
7 Days Hotel Bronx,11.54
Courtyard by Marriott Lyndhurst Meadowlands,8.42
Meadowlands Plaza Hotel,6.57
"Watt Hotel Rahway, Tapestry Collection by Hilton",15.94
Spacious one bedroom one bathroom beautiful home,8.14
LUXURY COCO CHANEL THEMED APARTMENT,11.01
Hampton Inn & Suites Teaneck Glenpointe,10.95
Hilton Newark Airport,9.97
Nr Marriott*Airprt*FastWiFi*Train2NY,8.8
Hilton Garden Inn New York / Staten Island,11.26
Night Hotel Broadway,0
Hampton Inn & Suites Yonkers,19.03
The Vue Hotel Express,4.31
"Home2 Suites by Hilton Rahway, NJ",15.42
Comfort Inn Manhattan - Midtown West,0
Hyatt Place Secaucus/Meadowlands,5.43
Flushing Central Hotel,9.71
