Hotel Name,Distance from NYC
Royalton Park Avenue,0
The MUSE New York,0
Soho Grand Hotel,0
Park Lane New York,0
Hotel Giraffe by Library Hotel Collection,0
"InterContinental New York Barclay, an IHG Hotel",0
Hotel Hugo,0
Hilton Club The Central at 5th New York,0
The Knickerbocker Hotel,0
Arthouse Hotel New York City,0
Courtyard New York Manhattan/Times Square West,0
Courtyard by Marriott New York Manhattan/Upper East Side,0
Hotel Beacon,0
The Hotel Chelsea,0
Gansevoort Meatpacking,0
The Standard High Line,0
Library Hotel by Library Hotel Collection,0
Courtyard by Marriott New York Manhattan / Chelsea,0
The Lucerne Hotel,0
Smyth Tribeca,0
Hyatt Herald Square New York,0
Hotel Belleclaire,0
NYC Getaway! Great Proximity to Attractions! Minutes to LaGuardia Airport!,0
The Kimberly Hotel,0
The Pearl New York,0
Hotel Elysee by Library Hotel Collection,0
Carnegie Hotel,0
The Ludlow Hotel,0
Hotel and the City-Midtown,0
ModernHaus SoHo,0
1 Hotel Central Park,0
The Ned NoMad,0
SIXTY SoHo,0
The Wallace,0
"Deluxe King, Beautiful Oversized Room",0
Renaissance New York Midtown Hotel,0
The Times Square EDITION,0
33 Seaport Hotel New York,0
Superior King,0
JW Marriott Essex House New York,0
Conrad New York Midtown,0
The Bowery Hotel,0
Hilton Club The Quin New York,0
Thompson Central Park - New York,0
Sonder Chambers,0
The Broome Nyc,0
Hotel AKA NoMad,0
The New York EDITION,0
Loews Regency New York Hotel,0
The Wall Street Hotel,0
Andaz 5th Avenue - a concept by Hyatt,0
Deluxe Double Queen,0
Deluxe Double Queen with Balcony,0
Lotte New York Palace,0
Nine Orchard,0
The Dominick,0
"The Chatwal, In The Unbound Collection By Hyatt",0
Top Notch 2BR & 2BA Suite Minutes From Central Park in Upper East Side,0
"The Langham, New York, Fifth Avenue",0
Trump International Hotel & Tower New York,0
Pendry Manhattan West,0
Equinox Hotel New York,0
The Sherry Netherland,0
Luxury Junior Suite x Balcony and NYC view in the heart of Downtown Manhattan,0
Hilton Club West 57th Street New York,0
The Mercer,0
Hotel Scherman,0
The Plaza Hotel,0
The Peninsula New York,0
2 x Grand Deluxe King at Royalton Park Avenue,0
The St. Regis New York,0
Four Seasons Hotel New York Downtown,0
"The Pierre, A Taj Hotel, New York",0
"The Carlyle, A Rosewood Hotel",0
Park Hyatt New York,0
Luxury Family Suite with Patio,0
Quintessential King with Balcony,0
Hotel Barriere Fouquets New York,0
The Towers at Lotte New York Palace,0
"Mandarin Oriental, New York",0
"The Ritz-Carlton New York, NoMad",0
"The Ritz-Carlton New York, Central Park",0
Baccarat Hotel and Residences New York,0
Casa Cipriani New York,0
The Mark,0
5th & 55th Residence Club,0
The Lowell,0
Conrad New York Downtown,0
Chelsea Hotel Room King Bed,0
Bowery Grand Hotel,0
Kama Central Park Hostel,0
Nap York Central Park Sleep Station,0
Hampton Inn Manhattan-35th St/Empire State Bldg,0
Canal Loft Hotel,0
The Wagner,0
Night Hotel by SB at Times Square,0
Marrakech New York,0
Riff Hotel Chelsea,0
Candy Hostel,0
The Surrey,0
Excelsior Hotel,0
The Residences by Hilton Club,0
Ymca Harlem,0
Best Western Bowery Hanbee Hotel,0
Gem Hotel Soho,0
Royal Park,0
AKA Wall Street,0
New World Hotel,0
Artel Hotel by The Red Collection Times Square,0
Pestana CR7 Times Square,0
Hyatt House New York Chelsea,0
Nyma The New York Manhattan Hotel,0
Spacious and Historic Duplex Apartment,0
HI New York City,0
"FEMALES ONLY <br>Quite safe neighborhood near NYC, transportation & mall<br>",15.2
Extended Stay America Suites Newark Woodbridge,19.55
Quiet getaway.,13.05
Cozy Shack-1 Bedroom Studio,6.47
