Hotel Name,Advertised Price,Total Price
"Home2 Suites by Hilton Rahway, NJ",The price is $164,$188 total
Hampton Inn Newark Airport,The price is $164,$189 total
Ramada by Wyndham Rockville Centre,The price is $164,$183 total
Hilton Hasbrouck Heights/Meadowlands,The price is $165,$189 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $166,$195 total
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $167,$191 total
Wheeler Hotel,The price is $167,$195 total
Hyatt Place Fair Lawn Paramus,The price is $168,$192 total
The Brooklyn,The price is $168,$219 total
The Central Park North,The price is $169,$197 total
Travelodge by Wyndham Manhasset,The price is $169,$189 total
Wyndham Garden Totowa,The price is $169,$194 total
The Vue Hotel Express,The price is $169,$209 total
"Home2 Suites by Hilton Wayne, NJ",The price is $169,$194 total
Hampton Inn White Plains/Tarrytown,The price is $170,$200 total
Hotel Opus Bronx,The price is $170,$199 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $170,$195 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $171,$195 total
Home2 Suites by Hilton Newark Airport,The price is $171,$196 total
SpringHill Suites by Marriott Newark Liberty International,The price is $171,$197 total
DoubleTree by Hilton Fort Lee - George Washington Bridge,The price is $174,$199 total
Courtyard by Marriott Newark Liberty International Airport,The price is $174,$200 total
Hotel 365 Bronx,The price is $174,$204 total
Need a place to relax and enjoy your vacation stay at The Cozy Den,The price is $175,$302 total
SpringHill Suites by Marriott Tarrytown Westchester County,The price is $175,$200 total
Courtyard by Marriott Paramus,The price is $176,$202 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $176,$206 total
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,The price is $177,$209 total
Hampton Inn & Suites Staten Island,The price is $178,$207 total
Hilton Garden Inn Springfield,The price is $178,$207 total
Courtyard by Marriott Newark Elizabeth,The price is $178,$208 total
Canal Loft Hotel,The price is $178,$254 total
Sleepy Hollow Hotel,The price is $179,$205 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Marriott Saddle Brook,The price is $179,$205 total
Residence Inn by Marriott Saddle River,The price is $179,$205 total
Baymont by Wyndham White Plains - Elmsford,The price is $179,$205 total
Sky Hotel Flushing/LaGuardia Airport,The price is $179,$217 total
7 Days Hotel Bronx,The price is $179,$209 total
SureStay Hotel by Best Western Secaucus Meadowlands,The price is $179,$211 total
Royal Hotel Bronx,The price is $180,$210 total
Fairfield Inn & Suites by Marriott New York Staten Island,The price is $183,$213 total
"Holiday Inn Clark - Newark Area, an IHG Hotel",The price is $184,$211 total
Comfort Suites Newark - Harrison,The price is $184,$212 total
Sonesta Simply Suites Nanuet,The price is $185,$205 total
Hilton Newark Airport,The price is $185,$212 total
Red Carpet Inn Elmwood Park,The price is $185,$212 total
Extended Stay America Suites Secaucus Meadowlands,The price is $185,$218 total
Residence Inn by Marriott East Rutherford Meadowlands,The price is $186,$219 total
Hotel Pergola JFK Airport,The price is $186,$217 total
DoubleTree by Hilton Fairfield Hotel & Suites,The price is $186,$214 total
Ramada by Wyndham Bronx,The price is $187,$218 total
Homewood Suites by Hilton Edison Woodbridge,The price is $187,$214 total
Delta Hotels by Marriott Woodbridge,The price is $188,$216 total
The Park Ave North,The price is $189,$220 total
Paris Suites Hotel,The price is $189,$220 total
Elmhurst Hotel,The price is $189,$220 total
Courtyard by Marriott Lyndhurst Meadowlands,The price is $189,$222 total
The Floral Park Motor Lodge,The price is $190,$216 total
Red Lion Inn & Suites Long Island City,The price is $191,$223 total
YMCA West Side,The price is $194,$194 total
King Hotel Brooklyn Sunset Park,The price is $194,$230 total
Super Lake Hotel,The price is $195,$227 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $195,$231 total
The Leo House,The price is $195,$225 total
The Grand Summit Hotel,The price is $195,$224 total
Embassy Suites Newark Airport,The price is $195,$224 total
Best Western Jamaica Inn,The price is $195,$228 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $197,$231 total
Courtyard by Marriott Yonkers Westchester County,The price is $197,$226 total
Westminster Hotel,The price is $197,$226 total
The Kenilworth,The price is $197,$226 total
Sheraton Tarrytown Hotel,The price is $197,$225 total
"The L Hotel, Ascend Hotel Collection",The price is $197,$230 total
"Candlewood Suites Secaucus - Meadowlands, an IHG Hotel",The price is $197,$232 total
The Wilshire Grand Hotel,The price is $199,$228 total
Meadowlands Plaza Hotel,The price is $199,$234 total
Cabana Hotel Yankee Stadium,The price is $199,$232 total
Teaneck Marriott at Glenpointe,The price is $199,$228 total
Extended Stay America Suites Secaucus New York City Area,The price is $199,$235 total
Best Western Queens Court Hotel,The price is $200,$233 total
Chelsea Mews Guest House All Male,The price is $200,$233 total
Courtyard by Marriott Secaucus Meadowlands,The price is $201,$236 total
Hilton Garden Inn New York / Staten Island,The price is $201,$234 total
Hampton Inn & Suites Newark-Harrison-Riverwalk,The price is $202,$231 total
Comfort Inn Brooklyn,The price is $203,$236 total
"Crowne Plaza Saddle Brook, an IHG Hotel",The price is $204,$234 total
Sheridan Hotel,The price is $204,$238 total
Courtyard by Marriott Wayne Fairfield,The price is $206,$236 total
Residence Inn by Marriott Yonkers Westchester County,The price is $206,$237 total
Hyatt Place Secaucus/Meadowlands,The price is $206,$242 total
Fairfield Inn & Suites by Marriott North Bergen,The price is $206,$242 total
Steinway Hotel,The price is $207,$241 total
Five Towns Inn - JFK Airport,The price is $209,$233 total
Hotel Key LaGuardia Airport,The price is $209,$243 total
Casa Blanca Hotel Brooklyn,The price is $209,$244 total
Best Western Plus Brooklyn Bay Hotel,The price is $210,$244 total
Harmony Suites,The price is $212,$249 total
DoubleTree by Hilton Hotel Newark Airport,The price is $212,$244 total
Howard Johnson by Wyndham North Bergen,The price is $212,$250 total
Home2 Suites by Hilton Hasbrouck Heights,The price is $215,$246 total
Cambria Hotel West Orange,The price is $215,$247 total
Peachtree Suites,The price is $215,$251 total
The Jane Hotel,The price is $216,$251 total
Homewood Suites by Hilton Teaneck Glenpointe,The price is $216,$247 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $216,$254 total
Hilton Pearl River,The price is $216,$241 total
Hilton Garden Inn Secaucus/Meadowlands,The price is $217,$255 total
Aloft Secaucus Meadowlands,The price is $218,$256 total
Americana Inn,The price is $219,$270 total
Fairfield Inn & Suites by Marriott Paramus,The price is $219,$251 total
"Watt Hotel Rahway, Tapestry Collection by Hilton",The price is $219,$251 total
Courtyard by Marriott Montvale,The price is $219,$251 total
Hampton Inn & Suites Yonkers - Westchester,The price is $220,$252 total
Hilton Garden Inn Wayne,The price is $220,$252 total
Comfort Inn JFK Airport,The price is $220,$256 total
"Insignia Hotel, Ascend Hotel Collection",The price is $220,$256 total
Renaissance Newark Airport Hotel,The price is $220,$252 total
Best Western Gregory Hotel,The price is $222,$259 total
The Baltic Hotel,The price is $224,$272 total
Courtyard by Marriott Newark Downtown,The price is $224,$258 total
Hampton Inn Paramus,The price is $224,$257 total
Royal Regency Hotel,The price is $225,$268 total
Rockaway Hotel Brooklyn,The price is $225,$262 total
Courtyard by Marriott West Orange,The price is $227,$260 total
"Holiday Inn Express & Suites Woodside Queens NYC, an IHG Hotel",The price is $227,$266 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $228,$261 total
"Holiday Inn Express & Suites Jersey City North - Hoboken, an IHG Hotel",The price is $228,$266 total
"Viana Hotel and Spa, Trademark Collection by Wyndham",The price is $229,$255 total
Asiatic Hotel by LaGuardia Airport,The price is $229,$266 total
Best Western Mill River Manor,The price is $229,$256 total
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",The price is $229,$262 total
Hilton Garden Inn Ridgefield Park,The price is $229,$262 total
Comfort Inn Edgewater on Hudson River,The price is $229,$262 total
Residence Inn by Marriott Wayne,The price is $229,$262 total
Hyatt Place New York/Yonkers,The price is $229,$263 total
"Hilton Garden Inn Westchester Dobbs Ferry, NY",The price is $232,$265 total
Fairfield Inn by Marriott East Rutherford Meadowlands,The price is $233,$274 total
Residence Inn By Marriott West Orange,The price is $237,$272 total
Comfort Inn Prospect Park - Brooklyn,The price is $237,$276 total
Homewood Suites by Hilton East Rutherford - Meadowlands,The price is $237,$279 total
Element Spring Valley,The price is $238,$265 total
Residence Inn Secaucus Meadowlands,The price is $238,$280 total
The Holland Hotel,The price is $239,$279 total
Comfort Inn & Suites near Stadium,The price is $240,$279 total
Homewood Suites by Hilton Edgewater,The price is $240,$275 total
Best Western Premier NYC Gateway Hotel,The price is $241,$285 total
Hyatt Place Fort Lee / George Washington Bridge,The price is $246,$281 total
Comfort Inn & Suites LaGuardia Airport,The price is $247,$287 total
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",The price is $247,$288 total
Wyndham Garden Brooklyn Sunset Park,The price is $247,$297 total
Feather Factory,The price is $248,$288 total
Lic Plaza Hotel,The price is $249,$289 total
"Vista LIC Hotel, BW Premier Collection",The price is $249,$289 total
Knights Inn Brooklyn Sunset Park,The price is $249,$293 total
The Vue Inn Brooklyn,The price is $249,$289 total
Mam Homes ,The price is $250,$392 total
Homewood Suites by Hilton Newark-Cranford,The price is $251,$288 total
"Holiday Inn Westbury - Long Island, an IHG Hotel",The price is $251,$280 total
Hilton Meadowlands,The price is $253,$298 total
Hilton Short Hills,The price is $253,$290 total
"Holiday Inn Brooklyn Downtown, an IHG Hotel",The price is $256,$299 total
"Holiday Inn Express Roslyn - Manhasset Area, an IHG Hotel",The price is $256,$289 total
Cambria Hotel White Plains - Downtown,The price is $257,$293 total
Newark Liberty International Airport Marriott,The price is $257,$296 total
Jazz On The Park Hostel,The price is $259,$301 total
Ramada by Wyndham Flushing Queens,The price is $259,$301 total
Element New York Wood Ridge,The price is $260,$298 total
"Holiday Inn Newark International Airport, an IHG Hotel",The price is $260,$299 total
"Holiday Inn Express NYC Brooklyn - Sunset Park, an IHG Hotel",The price is $260,$304 total
The Lodge Red Hook,The price is $260,$302 total
Chelsea Inn,The price is $261,$372 total
Courtyard Westbury Long Island,The price is $263,$293 total
Liberty View Brooklyn hotel,The price is $264,$307 total
Courtyard by Marriott Tarrytown Westchester County,The price is $265,$303 total
"Holiday Inn Express Brooklyn - Bushwick, an IHG Hotel",The price is $265,$327 total
SpringHill Suites by Marriott New York JFK Airport/Jamaica,The price is $266,$309 total
Best Western Fort Lee,The price is $267,$308 total
"The Westfield Inn, BW Signature Collection",The price is $268,$299 total
Renaissance Meadowlands Hotel,The price is $269,$316 total
"Hotel Nyack, a JdV by Hyatt Hotel",The price is $270,$359 total
"Holiday Inn Express Jamaica - JFK AirTrain - NYC, an IHG Hotel",The price is $271,$316 total
Radisson Hotel JFK Airport,The price is $272,$315 total
Courtyard by Marriott Rye,The price is $275,$314 total
Hotel Mimosa,The price is $275,$319 total
Fairfield Inn by Marriott JFK Airport,The price is $278,$323 total
Midtown West Hotel,The price is $279,$339 total
The One Boutique Hotel,The price is $279,$324 total
TRYP by Wyndham New York City Times Square / Midtown,The price is $280,$347 total
The Flat NYC,The price is $281,$326 total
Radisson Hotel New Rochelle,The price is $281,$336 total
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,The price is $284,$326 total
La Quinta Inn & Suites by Wyndham Garden City,The price is $284,$321 total
Residence Inn Orangeburg,The price is $284,$316 total
Hilton Garden Inn Queens/JFK Airport,The price is $284,$330 total
Hotel 57,The price is $284,$376 total
TownePlace Suites by Marriott New York Long Island City/Manhattan View,The price is $286,$332 total
Courtyard Long Island City/New York Manhattan View,The price is $287,$333 total
Hilton New York JFK Airport,The price is $287,$333 total
Sonesta White Plains Downtown,The price is $288,$351 total
John Hotel,The price is $289,$355 total
Wingate by Wyndham Bronx/Haven Park,The price is $289,$335 total
Flushing Central Hotel,The price is $289,$335 total
"Holiday Inn Express New Rochelle, an IHG Hotel",The price is $289,$331 total
Edge Hotel,The price is $290,$336 total
Hyatt Place Long Island City/New York City,The price is $291,$337 total
Relax and rejuvenate in this Hideaway Apartment close to public transportation .,The price is $291,$504 total
"EVEN Hotel Brooklyn, an IHG Hotel",The price is $294,$357 total
Hudson River Hotel,The price is $294,$341 total
Best Western Queens Gold Coast,The price is $295,$342 total
Chelsea Pines Inn,The price is $295,$342 total
LIC Hotel,The price is $295,$342 total
Orchard Street Hotel,The price is $296,$358 total
Fairfield Inn & Suites New York Manhattan/Downtown East,The price is $296,$343 total
Residence Inn by Marriott White Plains Westchester County,The price is $296,$339 total
SpringHill Suites by Marriott Tuckahoe Westchester County,The price is $296,$339 total
HYATT house White Plains,The price is $297,$339 total
Moxy NYC Downtown,The price is $297,$373 total
Radio Hotel,The price is $298,$345 total
The Ridge Hotel,The price is $298,$414 total
Courtyard by Marriott New York Downtown Manhattan/Financial District,The price is $298,$346 total
Red Roof PLUS+ Long Island - Garden City,The price is $299,$334 total
Hampton Inn Manhattan/Downtown-Financial District,The price is $299,$347 total
Opera House Hotel,The price is $299,$364 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,The price is $300,$348 total
"Crowne Plaza JFK Airport New York City, an IHG Hotel",The price is $303,$353 total
"Club Quarters Hotel, World Trade Center",The price is $305,$353 total
World Center Hotel,The price is $305,$353 total
Courtyard by Marriott New York JFK Airport,The price is $305,$354 total
Moderne Hotel,The price is $305,$376 total
Courtyard by Marriott New York World Trade Center Area,The price is $305,$354 total
Residence Inn by Marriott New York Downtown Manhattan/Financial District,The price is $305,$354 total
Hampton Inn NY-JFK,The price is $305,$354 total
Hampton Inn Manhattan-Seaport-Financial District,The price is $306,$354 total
Renaissance New York Harlem Hotel,The price is $307,$384 total
The Gallivant Times Square,The price is $309,$375 total
Hyatt Place Garden City,The price is $309,$348 total
SpringHill Suites by Marriott East Rutherford Meadowlands/Carlstadt,The price is $309,$363 total
Doubletree by Hilton New York Times Square South,The price is $309,$359 total
Madison LES Hotel,The price is $312,$384 total
