Hotel Name,Advertised Price,Total Price
Courtyard by Marriott New York Downtown Manhattan/Financial District,The price is $175,$204 total
SpringHill Suites by Marriott Tarrytown Westchester County,The price is $175,$200 total
Best Western Gregory Hotel,The price is $175,$205 total
Extended Stay America Suites New York City LaGuardia Airport,The price is $176,$205 total
Hyatt Place Fort Lee / George Washington Bridge,The price is $176,$202 total
The Kenilworth,The price is $177,$203 total
YMCA West Side,The price is $178,$178 total
SoHo 54 Hotel,The price is $179,$243 total
Off Soho Suites Hotel,The price is $179,$211 total
Lic Plaza Hotel,The price is $179,$209 total
Sleepy Hollow Hotel,The price is $179,$205 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Hyatt Place Secaucus/Meadowlands,The price is $179,$211 total
Fairfield Inn by Marriott JFK Airport,The price is $179,$209 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $179,$205 total
La Quinta Inn & Suites by Wyndham Garden City,The price is $180,$200 total
Comfort Suites Newark - Harrison,The price is $180,$207 total
Extended Stay America Suites Secaucus New York City Area,The price is $180,$212 total
Best Western Fort Lee,The price is $181,$209 total
Comfort Inn JFK Airport,The price is $181,$212 total
The Flat NYC,The price is $185,$215 total
LIC Hotel,The price is $185,$216 total
Fairfield Inn New York Manhattan/Financial District,The price is $186,$217 total
Residence Inn by Marriott New York Downtown Manhattan/Financial District,The price is $186,$217 total
Hilton Garden Inn Roslyn,The price is $186,$208 total
Hampton Inn Manhattan-Seaport-Financial District,The price is $187,$218 total
Hampton Inn Newark Airport,The price is $187,$216 total
Hotel Mimosa,The price is $188,$219 total
Broadway Plaza Hotel,The price is $188,$231 total
Artezen Hotel,The price is $188,$235 total
Westminster Hotel,The price is $188,$216 total
Fairfield Inn & Suites by Marriott North Bergen,The price is $188,$221 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $188,$216 total
"Club Quarters, Times Square - Midtown",The price is $189,$220 total
Marco LaGuardia Hotel,The price is $189,$220 total
Courtyard by Marriott Edgewater NYC Area,The price is $189,$217 total
Aloft Long Island City - Manhattan View,The price is $189,$220 total
"Hotel Indigo NYC Financial District, an IHG Hotel",The price is $189,$222 total
"Holiday Inn Express Laguardia Airport, an IHG Hotel",The price is $189,$222 total
Ravel Hotel Trademark Collection by Wyndham,The price is $190,$222 total
Aloft Manhattan Downtown - Financial District,The price is $191,$222 total
Hyatt Herald Square New York,The price is $193,$247 total
Teaneck Marriott at Glenpointe,The price is $193,$221 total
Courtyard by Marriott New York Manhattan / Chelsea,The price is $193,$225 total
The Andrew Hotel,The price is $193,$216 total
The Lodge Red Hook,The price is $194,$226 total
Courtyard by Marriott New York Queens/Fresh Meadows,The price is $194,$226 total
La Quinta Inn & Suites by Wyndham Times Square South,The price is $195,$249 total
Hilton Garden Inn Ridgefield Park,The price is $195,$223 total
The Grand Summit Hotel,The price is $195,$224 total
"The L Hotel, Ascend Hotel Collection",The price is $197,$229 total
Courtyard by Marriott Yonkers Westchester County,The price is $197,$226 total
Paramount Times Square,The price is $197,$270 total
Moderne Hotel,The price is $197,$253 total
Sheraton Tarrytown Hotel,The price is $197,$225 total
"Viana Hotel and Spa, Trademark Collection by Wyndham",The price is $197,$220 total
Best Western Premier NYC Gateway Hotel,The price is $198,$235 total
Hotel Richland LES,The price is $198,$251 total
"Insignia Hotel, Ascend Hotel Collection",The price is $198,$231 total
Courtyard by Marriott West Orange,The price is $199,$228 total
Hyatt Place New York/Chelsea,The price is $199,$232 total
Residence Inn By Marriott New Rochelle,The price is $199,$228 total
The Fifty Sonesta Select New York,The price is $199,$279 total
The Gotham Hotel,The price is $199,$260 total
Extended Stay America Suites White Plains Elmsford,The price is $199,$228 total
Chelsea Mews Guest House All Male,The price is $200,$233 total
DoubleTree by Hilton Hotel Newark Airport,The price is $201,$232 total
Sonesta White Plains Downtown,The price is $202,$252 total
The Gatsby Hotel,The price is $203,$273 total
"Staypineapple, An Artful Hotel, Midtown",The price is $203,$265 total
"Hotel Nyack, a JdV by Hyatt Hotel",The price is $203,$283 total
SpringHill Suites by Marriott New York Midtown Manhattan,The price is $205,$239 total
Comfort Inn Prospect Park - Brooklyn,The price is $205,$239 total
"Envue, Autograph Collection",The price is $206,$236 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $206,$241 total
Element Harrison - Newark,The price is $206,$236 total
Hotel St. James,The price is $206,$240 total
OYO Times Square,The price is $206,$284 total
"Holiday Inn New York City - Times Square, an IHG Hotel",The price is $206,$242 total
Harmony Suites,The price is $206,$242 total
Ramada by Wyndham Bronx,The price is $207,$241 total
Wyndham Garden Brooklyn Sunset Park,The price is $209,$253 total
Five Towns Inn - JFK Airport,The price is $209,$233 total
Wyndham Garden Chinatown,The price is $209,$243 total
The Manhattan at Times Square Hotel,The price is $209,$284 total
Arlo Midtown,The price is $212,$275 total
"Club Quarters Hotel, World Trade Center",The price is $212,$247 total
World Center Hotel,The price is $212,$247 total
Moxy NYC Downtown,The price is $212,$275 total
Placemakr Wall Street,The price is $214,$351 total
Empire Hotel,The price is $215,$273 total
Millennium Downtown New York,The price is $215,$285 total
Henn na Hotel New York,The price is $215,$273 total
The Allen Hotel,The price is $216,$280 total
HGU New York,The price is $217,$252 total
The Nolitan,The price is $218,$282 total
Residence Inn Orangeburg,The price is $218,$242 total
"Holiday Inn Express Kennedy Airport, an IHG Hotel",The price is $218,$255 total
Mondrian Park Avenue,The price is $219,$291 total
Doubletree by Hilton New York Times Square South,The price is $220,$256 total
Embassy Suites by Hilton New York Manhattan Times Square,The price is $220,$286 total
Leon Hotel LES,The price is $221,$282 total
Millennium Hotel Broadway Times Square,The price is $221,$322 total
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",The price is $221,$288 total
Comfort Inn Manhattan - Midtown West,The price is $223,$259 total
The Shelburne Sonesta New York,The price is $224,$305 total
"Holiday Inn Express New York City Times Square, an IHG Hotel",The price is $224,$278 total
The Michelangelo Hotel,The price is $224,$306 total
Iberostar 70 Park Avenue,The price is $225,$287 total
Hilton Garden Inn New York/West 35th Street,The price is $226,$262 total
TownePlace Suites by Marriott New York Manhattan/Chelsea,The price is $228,$265 total
SpringHill Suites by Marriott New York Manhattan/Chelsea,The price is $228,$267 total
DoubleTree by Hilton New York Midtown Fifth Ave,The price is $228,$266 total
Hotel On Rivington,The price is $229,$300 total
CIVILIAN Hotel,The price is $229,$266 total
Hotel 48LEX New York,The price is $229,$318 total
"Vista LIC Hotel, BW Premier Collection",The price is $229,$266 total
Hyatt Place New York/Yonkers,The price is $229,$263 total
Residence Inn Secaucus Meadowlands,The price is $229,$269 total
Hotel 57,The price is $229,$313 total
Pestana CR7 Times Square,The price is $230,$293 total
"Club Quarters Hotel, Grand Central",The price is $231,$269 total
Hotel Boutique at Grand Central,The price is $231,$269 total
Hampton Inn NY-JFK,The price is $233,$271 total
Four Points by Sheraton Manhattan SoHo Village,The price is $233,$271 total
Cambria Hotel New York - Chelsea,The price is $234,$272 total
"The Time New York, part of JdV by Hyatt",The price is $234,$306 total
Four Points By Sheraton New York Downtown,The price is $234,$272 total
Hampton Inn Manhattan Grand Central,The price is $235,$273 total
"EVEN Hotel Brooklyn, an IHG Hotel",The price is $237,$292 total
"Crowne Plaza JFK Airport New York City, an IHG Hotel",The price is $237,$277 total
The Lucerne Hotel,The price is $237,$276 total
"The Lexington Hotel, Autograph Collection",The price is $237,$311 total
Hyatt Grand Central New York,The price is $238,$323 total
Hyatt Centric Wall Street New York,The price is $238,$306 total
Hotel Edison Times Square,The price is $239,$318 total
The New Yorker A Wyndham Hotel,The price is $239,$311 total
The Holland Hotel,The price is $239,$279 total
The One Boutique Hotel,The price is $239,$278 total
