Hotel Name,Advertised Price,Total Price
Hampton Inn Linden,The price is $161,$184 total
Quality Inn near Sunset Park,The price is $161,$188 total
"The L Hotel, Ascend Hotel Collection",The price is $161,$188 total
"Brooklyn Vybe Hotel, Ascend Hotel Collection",The price is $161,$196 total
Days Inn by Wyndham Ridgefield NJ,The price is $162,$190 total
Comfort Inn Paramus,The price is $163,$186 total
Steinway Hotel,The price is $163,$190 total
Hilton Garden Inn Springfield,The price is $165,$193 total
Wheeler Hotel,The price is $165,$193 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $166,$191 total
The Leo House,The price is $167,$197 total
Townhouse Inn & Suites,The price is $168,$193 total
The Brooklyn,The price is $168,$219 total
Pod 51,The price is $169,$220 total
Travelodge by Wyndham Manhasset,The price is $169,$189 total
Paris Suites Hotel,The price is $169,$197 total
"Modern 1 Bdrm- Mins to NYC, Prudential, & Airport",The price is $169,$335 total
The Vue Hotel Express,The price is $169,$209 total
"Home2 Suites by Hilton Wayne, NJ",The price is $169,$194 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $170,$194 total
Quality Suites NYC Gateway,The price is $170,$200 total
Americana Inn,The price is $170,$213 total
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",The price is $170,$195 total
Newark Hansbury Multi Level House,The price is $170,$196 total
Fairfield Inn & Suites Newark Liberty International Airport,The price is $170,$196 total
Entire Luxury 2 Bedroom Near NY/EWR With Workspace,The price is $170,$262 total
Lovely 2 bedrooms near NYC/EWR Newark,The price is $170,$262 total
Private suite. Convenient to Capital Theater and HPN airport.  Free parking.,The price is $170,$272 total
Delta Hotels by Marriott Woodbridge,The price is $170,$195 total
"Holiday Inn Newark International Airport, an IHG Hotel",The price is $170,$196 total
The Baltic Hotel,The price is $170,$210 total
Hotel Opus Bronx,The price is $170,$199 total
DoubleTree by Hilton Fairfield Hotel & Suites,The price is $170,$195 total
TRYP by Wyndham Newark Downtown,The price is $170,$196 total
SpringHill Suites by Marriott Newark Liberty International,The price is $171,$197 total
Best Western Plus Newark Airport West,The price is $174,$200 total
Hampton Inn Nanuet,The price is $174,$194 total
Home away from Home,The price is $175,$218 total
Need a place to relax and enjoy your vacation stay at The Cozy Den,The price is $175,$302 total
7 Days Hotel Bronx,The price is $175,$204 total
Red Lion Inn & Suites Long Island City,The price is $175,$205 total
Courtyard by Marriott Paramus,The price is $176,$202 total
YMCA West Side,The price is $177,$177 total
Hampton Inn White Plains/Tarrytown,The price is $178,$209 total
Hampton Inn & Suites Staten Island,The price is $178,$207 total
Baymont by Wyndham White Plains - Elmsford,The price is $179,$205 total
Hyatt Place Fair Lawn Paramus,The price is $179,$205 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Howard Johnson by Wyndham Clifton NJ,The price is $179,$205 total
Residence Inn by Marriott Saddle River,The price is $179,$205 total
Double Bedroom apartment with private entrance,The price is $179,$226 total
"Luxury 1 Bdrm (King)- mins to NYC, Airport, & Prudential Center/ Downtown Newark",The price is $179,$347 total
Westminster Hotel,The price is $179,$205 total
Fairfield Inn & Suites by Marriott Paramus,The price is $179,$205 total
"Holiday Inn Express Woodbridge, an IHG Hotel",The price is $179,$205 total
Sky Hotel Flushing/LaGuardia Airport,The price is $179,$217 total
Highbridge Hotel,The price is $180,$210 total
Royal Hotel Bronx,The price is $180,$210 total
Best Western Fort Lee,The price is $181,$209 total
Home2 Suites by Hilton Newark Airport,The price is $181,$208 total
Comfort Inn & Suites,The price is $182,$209 total
Hilton Woodcliff Lake,The price is $184,$211 total
Element Spring Valley,The price is $184,$205 total
Hampton Inn Newark Airport,The price is $185,$213 total
Red Carpet Inn Elmwood Park,The price is $185,$212 total
Ardsley Acres Hotel Westchester,The price is $185,$212 total
Upsacale Super LUX Private 2br Apartment,The price is $185,$406 total
Extended Stay America Suites New York City LaGuardia Airport,The price is $185,$216 total
"Crowne Plaza Saddle Brook, an IHG Hotel",The price is $185,$212 total
Hotel Pergola JFK Airport,The price is $186,$217 total
Homewood Suites by Hilton Edison Woodbridge,The price is $186,$213 total
Marriott Saddle Brook,The price is $188,$215 total
"Holiday Inn Clark - Newark Area, an IHG Hotel",The price is $188,$215 total
John Hotel,The price is $189,$233 total
Ramada by Wyndham Flushing Queens,The price is $189,$220 total
The One Boutique Hotel,The price is $189,$220 total
Elmhurst Hotel,The price is $189,$220 total
Flushing Central Hotel,The price is $189,$220 total
Boutique Hotel in the Heart of Long Island's North Shore,The price is $189,$238 total
❇️ROOFTOP TERRACE❇️ Luxury 1BR Downtown Newark - 20 Mins to NYC,The price is $189,$354 total
🌟RooftopTerrace🌟 Downtown Luxury 1BR-5 min walk 2 Prudential,The price is $189,$354 total
Modern and Stylish Downtown Newark,The price is $189,$359 total
The Floral Park Motor Lodge,The price is $190,$216 total
"Home2 Suites by Hilton Rahway, NJ",The price is $190,$218 total
King Hotel Brooklyn Sunset Park,The price is $190,$226 total
The Safe House - High Tech Apt #1 - 2 Queen beds,The price is $192,$311 total
Fairfield Inn & Suites by Marriott New York Staten Island,The price is $193,$225 total
Hotel 365 Bronx,The price is $193,$225 total
Quality Inn JFK Airport Rockaway Blvd,The price is $195,$230 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $195,$231 total
The Grand Summit Hotel,The price is $195,$224 total
⭐️Spacious LOFT W/King BD + Free Parking Near EWR✈️ NYC🗽❤️ & 🇺🇸 DREAM Mall ⭐️,The price is $195,$362 total
Courtyard by Marriott Newark Elizabeth,The price is $195,$228 total
Ramada by Wyndham Rockville Centre,The price is $196,$218 total
The Jane Hotel,The price is $196,$228 total
Fairfield Inn & Suites by Marriott Woodbridge,The price is $197,$226 total
Paramount Times Square,The price is $197,$270 total
The Kenilworth,The price is $197,$226 total
Wyndham Garden Brooklyn Sunset Park,The price is $197,$240 total
DoubleTree by Hilton Fort Lee - George Washington Bridge,The price is $198,$227 total
The Wilshire Grand Hotel,The price is $199,$228 total
Cabana Hotel Yankee Stadium,The price is $199,$232 total
Knights Inn Brooklyn Sunset Park,The price is $199,$236 total
"Vista LIC Hotel, BW Premier Collection",The price is $199,$232 total
Phoenix Hotel,The price is $199,$232 total
Jersey City Home Away from Home,The price is $199,$356 total
Teaneck Marriott at Glenpointe,The price is $199,$228 total
Spacious one bedroom one bathroom beautiful home,The price is $200,$350 total
Hilton Garden Inn Wayne,The price is $200,$230 total
Comfort Inn & Suites LaGuardia Airport,The price is $200,$233 total
Night Hotel Broadway,The price is $201,$249 total
Orchard Street Hotel,The price is $202,$250 total
Sheridan Hotel,The price is $204,$238 total
Comfort Suite - HUGE fenced yard. 40 min NYC,The price is $205,$326 total
"Hilton Garden Inn Westchester Dobbs Ferry, NY",The price is $205,$235 total
Peachtree Suites,The price is $206,$240 total
The Ridge Hotel,The price is $206,$308 total
Residence Inn by Marriott Yonkers Westchester County,The price is $206,$237 total
Hyatt Place Long Island City/New York City,The price is $207,$241 total
Hampton Inn Woodbridge,The price is $207,$238 total
Feather Factory,The price is $208,$242 total
"The Cloud One New York-Downtown, by the Motel One Group",The price is $209,$243 total
Off Soho Suites Hotel,The price is $209,$245 total
Hotel Key LaGuardia Airport,The price is $209,$243 total
Musicians HiTech Launch Pad- CAPITOL Theater & NYC,The price is $209,$331 total
Casa Blanca Hotel Brooklyn,The price is $209,$244 total
Best Western Plus Brooklyn Bay Hotel,The price is $210,$244 total
Edge Hotel,The price is $210,$245 total
